stage,floors,aspect,azimuth,x,y,tower_plate,tower_long,tower_short,podium_plate,podium_aspect,podium_x,podium_y,podium_az,new_fail,new_ok,coverage_m2,bcr_pct,gfa_m2,far_pct,height_m
F 정밀 미세조정,41,3.438,168.0,194311.2,546964.7,309.0,32.59,9.48,2800.0,1.6,194295.2,546944.7,52.0,27,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,3.906,165.0,194311.2,546960.7,309.0,34.74,8.89,2800.0,1.6,194295.2,546944.7,52.0,27,43,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,4.531,166.5,194311.2,546962.7,309.0,37.42,8.26,2800.0,1.6,194295.2,546944.7,52.0,27,43,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,40,2.656,168.0,194311.2,546964.7,319.3,29.12,10.96,2800.0,1.6,194295.2,546944.7,52.0,27,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,2.969,165.0,194311.2,546960.7,319.3,30.79,10.37,2800.0,1.6,194295.2,546944.7,52.0,27,43,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,2.969,169.5,194311.2,546964.7,319.3,30.79,10.37,2800.0,1.6,194295.2,546944.7,52.0,27,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,3.125,166.5,194311.2,546962.7,319.3,31.59,10.11,2800.0,1.6,194295.2,546944.7,52.0,27,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,3.438,168.0,194311.2,546964.7,319.3,33.13,9.64,2800.0,1.6,194295.2,546944.7,52.0,27,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,3.906,165.0,194311.2,546960.7,319.3,35.32,9.04,2800.0,1.6,194295.2,546944.7,52.0,27,43,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,4.531,166.5,194311.2,546962.7,319.3,38.04,8.39,2800.0,1.6,194295.2,546944.7,52.0,27,43,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,39,2.969,165.0,194311.2,546960.7,330.3,31.32,10.55,2800.0,1.6,194295.2,546944.7,52.0,27,43,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,3.125,166.5,194311.2,546962.7,330.3,32.13,10.28,2800.0,1.6,194295.2,546944.7,52.0,27,44,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,3.438,168.0,194311.2,546964.7,330.3,33.7,9.8,2800.0,1.6,194295.2,546944.7,52.0,27,44,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,3.438,169.5,194309.2,546964.7,330.3,33.7,9.8,2800.0,1.6,194295.2,546944.7,52.0,27,44,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,3.906,165.0,194311.2,546960.7,330.3,35.92,9.2,2800.0,1.6,194295.2,546944.7,52.0,27,43,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,4.531,166.5,194311.2,546962.7,330.3,38.69,8.54,2800.0,1.6,194295.2,546944.7,52.0,27,43,2909.8,30.97,37580,400.0,119.05
G 용적률 민감도,39,3.0,165.0,194307.2,546968.7,361.3,32.92,10.97,0.0,0.0,0.0,0.0,52.0,27,62,406.2,4.32,14092,150.0,119.05
G 용적률 민감도,45,3.0,165.0,194307.2,546968.7,313.2,30.65,10.22,0.0,0.0,0.0,0.0,52.0,28,62,355.0,3.78,14092,150.0,136.75
F 정밀 미세조정,43,2.656,163.5,194311.2,546958.7,290.3,27.77,10.45,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,2.969,160.5,194311.2,546956.7,290.3,29.36,9.89,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.125,162.0,194311.2,546956.7,290.3,30.12,9.64,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.125,171.0,194311.2,546966.7,290.3,30.12,9.64,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.438,159.0,194311.2,546954.7,290.3,31.59,9.19,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.438,168.0,194311.2,546964.7,290.3,31.59,9.19,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.438,169.5,194309.2,546964.7,290.3,31.59,9.19,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.906,160.5,194311.2,546956.7,290.3,33.67,8.62,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.906,169.5,194311.2,546964.7,290.3,33.67,8.62,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,4.531,162.0,194311.2,546956.7,290.3,36.27,8.0,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,4.531,166.5,194311.2,546962.7,290.3,36.27,8.0,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,42,2.656,163.5,194311.2,546958.7,299.4,28.2,10.62,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,2.969,171.0,194309.2,546966.7,299.4,29.81,10.04,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,3.125,162.0,194311.2,546956.7,299.4,30.59,9.79,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,3.125,168.0,194309.2,546962.7,299.4,30.59,9.79,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,3.438,163.5,194311.2,546958.7,299.4,32.08,9.33,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,3.906,160.5,194311.2,546956.7,299.4,34.2,8.75,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,4.531,162.0,194311.2,546956.7,299.4,36.83,8.13,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,41,2.656,163.5,194311.2,546958.7,309.0,28.65,10.79,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,3.125,162.0,194311.2,546956.7,309.0,31.08,9.94,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,3.125,168.0,194309.2,546962.7,309.0,31.08,9.94,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,3.438,163.5,194311.2,546958.7,309.0,32.59,9.48,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,3.906,160.5,194311.2,546956.7,309.0,34.74,8.89,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,3.906,169.5,194311.2,546964.7,309.0,34.74,8.89,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,4.531,162.0,194311.2,546956.7,309.0,37.42,8.26,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,40,3.125,162.0,194311.2,546956.7,319.3,31.59,10.11,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,3.125,168.0,194309.2,546962.7,319.3,31.59,10.11,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,3.438,163.5,194311.2,546958.7,319.3,33.13,9.64,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,3.906,169.5,194311.2,546964.7,319.3,35.32,9.04,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,4.531,162.0,194311.2,546956.7,319.3,38.04,8.39,2800.0,1.6,194295.2,546944.7,52.0,28,42,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,39,2.969,169.5,194311.2,546964.7,330.3,31.32,10.55,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,3.125,162.0,194311.2,546956.7,330.3,32.13,10.28,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,3.125,168.0,194309.2,546962.7,330.3,32.13,10.28,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,3.438,163.5,194311.2,546958.7,330.3,33.7,9.8,2800.0,1.6,194295.2,546944.7,52.0,28,43,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,3.906,169.5,194311.2,546964.7,330.3,35.92,9.2,2800.0,1.6,194295.2,546944.7,52.0,28,44,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,4.531,162.0,194311.2,546956.7,330.3,38.69,8.54,2800.0,1.6,194295.2,546944.7,52.0,28,42,2909.8,30.97,37580,400.0,119.05
G 용적률 민감도,45,3.0,165.0,194271.2,546932.7,521.9,39.57,13.19,0.0,0.0,0.0,0.0,52.0,29,39,575.7,6.13,23488,250.0,136.75
G 용적률 민감도,45,2.0,165.0,194307.2,546968.7,242.5,22.02,11.01,1500.0,1.6,194289.2,546932.7,52.0,29,55,1580.6,16.82,23488,250.0,136.75
F 정밀 미세조정,43,3.125,168.0,194309.2,546962.7,290.3,30.12,9.64,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.438,165.0,194309.2,546960.7,290.3,31.59,9.19,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.906,162.0,194309.2,546956.7,290.3,33.67,8.62,2800.0,1.6,194295.2,546944.7,52.0,29,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,4.531,168.0,194309.2,546962.7,290.3,36.27,8.0,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,4.531,171.0,194311.2,546966.7,290.3,36.27,8.0,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,42,3.438,165.0,194309.2,546960.7,299.4,32.08,9.33,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,3.906,162.0,194309.2,546956.7,299.4,34.2,8.75,2800.0,1.6,194295.2,546944.7,52.0,29,43,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,3.906,171.0,194309.2,546966.7,299.4,34.2,8.75,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,41,2.969,171.0,194309.2,546966.7,309.0,30.29,10.2,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,3.438,165.0,194309.2,546960.7,309.0,32.59,9.48,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,3.906,162.0,194309.2,546956.7,309.0,34.74,8.89,2800.0,1.6,194295.2,546944.7,52.0,29,43,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,4.531,163.5,194309.2,546958.7,309.0,37.42,8.26,2800.0,1.6,194295.2,546944.7,52.0,29,43,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,4.531,168.0,194309.2,546962.7,309.0,37.42,8.26,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,40,2.969,171.0,194309.2,546966.7,319.3,30.79,10.37,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,3.906,160.5,194311.2,546956.7,319.3,35.32,9.04,2800.0,1.6,194295.2,546944.7,52.0,29,43,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,3.906,166.5,194309.2,546962.7,319.3,35.32,9.04,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,4.531,163.5,194309.2,546958.7,319.3,38.04,8.39,2800.0,1.6,194295.2,546944.7,52.0,29,43,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,4.531,168.0,194309.2,546962.7,319.3,38.04,8.39,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,39,3.906,166.5,194309.2,546962.7,330.3,35.92,9.2,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,4.531,163.5,194309.2,546958.7,330.3,38.69,8.54,2800.0,1.6,194295.2,546944.7,52.0,29,43,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,4.531,168.0,194309.2,546962.7,330.3,38.69,8.54,2800.0,1.6,194295.2,546944.7,52.0,29,44,2909.8,30.97,37580,400.0,119.05
G 용적률 민감도,39,2.0,165.0,194307.2,546968.7,292.7,24.19,12.1,1500.0,1.6,194289.2,546932.7,52.0,29,55,1580.6,16.82,23488,250.0,119.05
F 정밀 미세조정,43,2.969,171.0,194309.2,546966.7,290.3,29.36,9.89,2800.0,1.6,194295.2,546944.7,52.0,30,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,42,4.531,171.0,194311.2,546966.7,299.4,36.83,8.13,2800.0,1.6,194295.2,546944.7,52.0,30,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,41,3.906,171.0,194309.2,546966.7,309.0,34.74,8.89,2800.0,1.6,194295.2,546944.7,52.0,30,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,4.531,171.0,194311.2,546966.7,309.0,37.42,8.26,2800.0,1.6,194295.2,546944.7,52.0,30,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,39,2.969,171.0,194309.2,546966.7,330.3,31.32,10.55,2800.0,1.6,194295.2,546944.7,52.0,30,44,2909.8,30.97,37580,400.0,119.05
G 용적률 민감도,45,3.0,165.0,194271.2,546932.7,242.5,26.97,8.99,1500.0,1.6,194289.2,546932.7,52.0,31,40,1580.6,16.82,23488,250.0,136.75
G 용적률 민감도,45,3.0,165.0,194307.2,546986.7,242.5,26.97,8.99,1500.0,1.6,194289.2,546932.7,52.0,31,55,1580.6,16.82,23488,250.0,136.75
F 정밀 미세조정,43,4.531,165.0,194307.2,546960.7,290.3,36.27,8.0,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,42,2.656,169.5,194309.2,546964.7,299.4,28.2,10.62,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,3.438,166.5,194307.2,546962.7,299.4,32.08,9.33,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,4.531,169.5,194307.2,546964.7,299.4,36.83,8.13,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,41,2.656,169.5,194309.2,546964.7,309.0,28.65,10.79,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,3.125,171.0,194311.2,546966.7,309.0,31.08,9.94,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,41,4.531,169.5,194307.2,546964.7,309.0,37.42,8.26,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,124.95
F 정밀 미세조정,40,2.656,169.5,194309.2,546964.7,319.3,29.12,10.96,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,3.125,171.0,194311.2,546966.7,319.3,31.59,10.11,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,3.906,171.0,194309.2,546966.7,319.3,35.32,9.04,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,4.531,169.5,194307.2,546964.7,319.3,38.04,8.39,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,40,4.531,171.0,194311.2,546966.7,319.3,38.04,8.39,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,122.0
F 정밀 미세조정,39,2.656,168.0,194311.2,546964.7,330.3,29.62,11.15,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,2.656,169.5,194309.2,546964.7,330.3,29.62,11.15,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,3.906,171.0,194309.2,546966.7,330.3,35.92,9.2,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,119.05
F 정밀 미세조정,39,4.531,171.0,194311.2,546966.7,330.3,38.69,8.54,2800.0,1.6,194295.2,546944.7,52.0,31,44,2909.8,30.97,37580,400.0,119.05
G 용적률 민감도,45,2.0,150.0,194271.2,546950.7,313.2,25.03,12.51,0.0,0.0,0.0,0.0,52.0,32,60,351.7,3.74,14092,150.0,136.75
G 용적률 민감도,45,3.0,165.0,194271.2,546950.7,313.2,30.65,10.22,0.0,0.0,0.0,0.0,52.0,32,56,355.0,3.78,14092,150.0,136.75
F 정밀 미세조정,43,2.656,165.0,194309.2,546960.7,290.3,27.77,10.45,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,2.656,166.5,194313.2,546962.7,290.3,27.77,10.45,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,2.969,163.5,194313.2,546958.7,290.3,29.36,9.89,2800.0,1.6,194295.2,546944.7,52.0,32,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,2.969,166.5,194309.2,546962.7,290.3,29.36,9.89,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.125,165.0,194313.2,546960.7,290.3,30.12,9.64,2800.0,1.6,194295.2,546944.7,52.0,32,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.438,162.0,194313.2,546958.7,290.3,31.59,9.19,2800.0,1.6,194295.2,546944.7,52.0,32,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.438,166.5,194313.2,546962.7,290.3,31.59,9.19,2800.0,1.6,194295.2,546944.7,52.0,32,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.438,171.0,194307.2,546966.7,290.3,31.59,9.19,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.906,159.0,194313.2,546954.7,290.3,33.67,8.62,2800.0,1.6,194295.2,546944.7,52.0,32,42,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,3.906,163.5,194313.2,546958.7,290.3,33.67,8.62,2800.0,1.6,194295.2,546944.7,52.0,32,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,4.531,160.5,194313.2,546956.7,290.3,36.27,8.0,2800.0,1.6,194295.2,546944.7,52.0,32,42,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,43,4.531,165.0,194313.2,546960.7,290.3,36.27,8.0,2800.0,1.6,194295.2,546944.7,52.0,32,43,2909.8,30.97,37580,400.0,130.85
F 정밀 미세조정,42,2.656,165.0,194309.2,546960.7,299.4,28.2,10.62,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,2.969,160.5,194311.2,546956.7,299.4,29.81,10.04,2800.0,1.6,194295.2,546944.7,52.0,32,43,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,2.969,163.5,194313.2,546958.7,299.4,29.81,10.04,2800.0,1.6,194295.2,546944.7,52.0,32,43,2909.8,30.97,37580,400.0,127.9
F 정밀 미세조정,42,2.969,166.5,194309.2,546962.7,299.4,29.81,10.04,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580,400.0,127.9
