stage,floors,aspect,azimuth,x,y,tower_plate,tower_long,tower_short,podium_plate,podium_aspect,podium_x,podium_y,new_fail,new_ok,coverage_m2,bcr_pct,far_pct,height_m
E1 저층부 확대(경계 확장),43,3.5,157.5,194319.2,546980.7,229.7,28.35,8.1,3000.0,3.0,194319.2,546952.7,64,40,3127.5,33.29,400.0,130.85
E1 저층부 확대(경계 확장),41,2.5,157.5,194319.2,546966.7,438.1,33.09,13.24,2400.0,2.2,194291.2,546952.7,64,29,2506.7,26.68,400.0,124.95
E1 저층부 확대(경계 확장),41,3.0,150.0,194319.2,546980.7,309.0,30.45,10.15,2800.0,3.0,194319.2,546952.7,64,37,2923.2,31.11,400.0,124.95
E1 저층부 확대(경계 확장),41,2.5,165.0,194319.2,546994.7,244.5,24.72,9.89,3000.0,1.6,194305.2,546952.7,64,47,3113.6,33.14,400.0,124.95
E2 층수 하향(범위 밖 참고),39,2.5,165.0,194315.2,546976.7,606.2,38.93,15.57,2000.0,1.6,194283.2,546944.7,64,35,2092.9,22.28,400.0,119.05
E2 층수 하향(범위 밖 참고),39,2.5,150.0,194331.2,546976.7,330.3,28.74,11.5,2800.0,4.0,194299.2,546960.7,64,24,2933.3,31.22,400.0,119.05
E2 층수 하향(범위 밖 참고),39,3.0,150.0,194331.2,546960.7,330.3,31.48,10.49,2800.0,3.0,194299.2,546960.7,64,23,2923.2,31.11,400.0,119.05
E2 층수 하향(범위 밖 참고),35,3.0,150.0,194331.2,546976.7,703.2,45.93,15.31,2000.0,3.0,194299.2,546944.7,64,41,2104.3,22.4,400.0,107.25
E2 층수 하향(범위 밖 참고),25,3.0,165.0,194347.2,546976.7,238.7,26.76,8.92,3400.0,1.6,194315.2,546976.7,64,23,3520.9,37.48,400.0,77.75
E1 저층부 확대(경계 확장),45,2.5,157.5,194333.2,546966.7,388.0,31.14,12.46,2400.0,2.2,194291.2,546952.7,65,23,2506.7,26.68,400.0,136.75
E1 저층부 확대(경계 확장),45,2.0,157.5,194305.2,546980.7,273.7,23.4,11.7,2800.0,3.0,194291.2,546966.7,65,25,2923.2,31.11,400.0,136.75
E1 저층부 확대(경계 확장),45,3.5,157.5,194319.2,546952.7,216.6,27.53,7.87,3000.0,2.2,194305.2,546966.7,65,39,3119.2,33.2,400.0,136.75
E1 저층부 확대(경계 확장),43,2.0,165.0,194319.2,546980.7,411.5,28.69,14.34,2400.0,1.6,194291.2,546938.7,65,46,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,2.0,157.5,194319.2,546952.7,229.7,21.43,10.72,3000.0,2.2,194305.2,546966.7,65,39,3119.2,33.2,400.0,130.85
E1 저층부 확대(경계 확장),43,2.5,157.5,194333.2,546966.7,229.7,23.96,9.59,3000.0,2.2,194305.2,546966.7,65,33,3119.2,33.2,400.0,130.85
E1 저층부 확대(경계 확장),43,3.0,172.5,194319.2,546980.7,229.7,26.25,8.75,3000.0,1.6,194319.2,546966.7,65,35,3113.6,33.14,400.0,130.85
E1 저층부 확대(경계 확장),41,3.5,172.5,194305.2,546966.7,438.1,39.16,11.19,2400.0,4.0,194305.2,546952.7,65,42,2523.5,26.86,400.0,124.95
E1 저층부 확대(경계 확장),41,2.0,172.5,194333.2,546980.7,244.5,22.11,11.06,3000.0,3.0,194319.2,546952.7,65,44,3127.5,33.29,400.0,124.95
E2 층수 하향(범위 밖 참고),30,2.5,165.0,194315.2,546976.7,479.0,34.6,13.84,2800.0,3.0,194299.2,546960.7,65,33,2923.2,31.11,400.0,92.5
E1 저층부 확대(경계 확장),41,2.0,165.0,194319.2,546966.7,180.0,18.97,9.49,3200.0,1.6,194319.2,546966.7,66,35,3317.3,35.31,400.0,124.95
E1 저층부 확대(경계 확장),39,3.5,157.5,194319.2,546966.7,468.3,40.48,11.57,2400.0,1.6,194319.2,546966.7,66,39,2501.7,26.63,400.0,119.05
E2 층수 하향(범위 밖 참고),39,2.0,165.0,194315.2,546976.7,606.2,34.82,17.41,2000.0,1.6,194283.2,546944.7,66,34,2092.9,22.28,400.0,119.05
E2 층수 하향(범위 밖 참고),30,2.0,165.0,194315.2,546976.7,479.0,30.95,15.48,2800.0,2.2,194299.2,546960.7,66,43,2915.2,31.03,400.0,92.5
E2 층수 하향(범위 밖 참고),25,2.5,150.0,194331.2,546976.7,1172.0,54.13,21.65,2000.0,4.0,194315.2,546960.7,66,36,2112.8,22.49,400.0,77.75
E2 층수 하향(범위 밖 참고),25,2.5,150.0,194315.2,546976.7,638.7,39.96,15.98,2800.0,2.2,194299.2,546960.7,66,38,2915.2,31.03,400.0,77.75
E1 저층부 확대(경계 확장),45,3.0,172.5,194305.2,546980.7,388.0,34.12,11.37,2400.0,3.0,194291.2,546966.7,67,31,2514.1,26.76,400.0,136.75
E1 저층부 확대(경계 확장),45,3.0,165.0,194333.2,546994.7,216.6,25.49,8.5,3000.0,1.6,194305.2,546952.7,67,39,3113.6,33.14,400.0,136.75
E1 저층부 확대(경계 확장),43,2.0,150.0,194319.2,546994.7,290.3,24.1,12.05,2800.0,4.0,194305.2,546952.7,67,31,2933.3,31.22,400.0,130.85
E1 저층부 확대(경계 확장),43,2.0,165.0,194333.2,546980.7,229.7,21.43,10.72,3000.0,1.6,194319.2,546966.7,67,32,3113.6,33.14,400.0,130.85
E1 저층부 확대(경계 확장),41,3.0,150.0,194319.2,546994.7,244.5,27.08,9.03,3000.0,3.0,194305.2,546952.7,67,34,3127.5,33.29,400.0,124.95
E1 저층부 확대(경계 확장),39,2.5,157.5,194305.2,546980.7,468.3,34.22,13.69,2400.0,2.2,194319.2,546952.7,67,44,2506.7,26.68,400.0,119.05
E1 저층부 확대(경계 확장),39,3.5,150.0,194319.2,546980.7,330.3,34.0,9.72,2800.0,3.0,194319.2,546952.7,67,37,2923.2,31.11,400.0,119.05
E1 저층부 확대(경계 확장),39,2.0,165.0,194333.2,546966.7,261.4,22.86,11.43,3000.0,3.0,194305.2,546966.7,67,26,3127.5,33.29,400.0,119.05
E1 저층부 확대(경계 확장),39,3.0,157.5,194319.2,546966.7,192.4,24.03,8.01,3200.0,1.6,194319.2,546966.7,67,35,3317.3,35.31,400.0,119.05
E1 저층부 확대(경계 확장),45,3.0,172.5,194305.2,546952.7,388.0,34.12,11.37,2400.0,3.0,194305.2,546938.7,68,55,2514.1,26.76,400.0,136.75
E1 저층부 확대(경계 확장),45,3.0,172.5,194333.2,546966.7,273.7,28.66,9.55,2800.0,3.0,194305.2,546966.7,68,27,2923.2,31.11,400.0,136.75
E1 저층부 확대(경계 확장),45,2.5,157.5,194305.2,546966.7,216.6,23.27,9.31,3000.0,2.2,194291.2,546952.7,68,30,3119.2,33.2,400.0,136.75
E1 저층부 확대(경계 확장),41,2.0,157.5,194333.2,546966.7,309.0,24.86,12.43,2800.0,1.6,194305.2,546966.7,68,37,2909.8,30.97,400.0,124.95
E1 저층부 확대(경계 확장),41,3.5,172.5,194305.2,546966.7,180.0,25.1,7.17,3200.0,3.0,194291.2,546966.7,68,22,3331.6,35.46,400.0,124.95
E1 저층부 확대(경계 확장),39,2.0,165.0,194347.2,546966.7,192.4,19.62,9.81,3200.0,1.6,194319.2,546966.7,68,31,3317.3,35.31,400.0,119.05
E1 저층부 확대(경계 확장),39,3.5,150.0,194333.2,546980.7,192.4,25.95,7.41,3200.0,2.2,194305.2,546966.7,68,32,3323.0,35.37,400.0,119.05
E2 층수 하향(범위 밖 참고),35,3.0,165.0,194315.2,546976.7,383.2,33.91,11.3,2800.0,3.0,194315.2,546960.7,68,40,2923.2,31.11,400.0,107.25
E2 층수 하향(범위 밖 참고),30,2.0,165.0,194315.2,546976.7,879.0,41.93,20.96,2000.0,2.2,194315.2,546960.7,68,47,2097.5,22.33,400.0,92.5
E1 저층부 확대(경계 확장),45,3.0,165.0,194319.2,546952.7,273.7,28.66,9.55,2800.0,1.6,194291.2,546966.7,69,37,2909.8,30.97,400.0,136.75
E1 저층부 확대(경계 확장),41,3.0,172.5,194319.2,546952.7,309.0,30.45,10.15,2800.0,1.6,194291.2,546966.7,69,37,2909.8,30.97,400.0,124.95
E1 저층부 확대(경계 확장),41,3.5,172.5,194319.2,546966.7,309.0,32.89,9.4,2800.0,1.6,194305.2,546966.7,69,45,2909.8,30.97,400.0,124.95
E1 저층부 확대(경계 확장),39,2.0,150.0,194319.2,546994.7,468.3,30.6,15.3,2400.0,2.2,194319.2,546952.7,69,43,2506.7,26.68,400.0,119.05
E1 저층부 확대(경계 확장),39,3.0,157.5,194319.2,546980.7,330.3,31.48,10.49,2800.0,2.2,194291.2,546952.7,69,27,2915.2,31.03,400.0,119.05
E1 저층부 확대(경계 확장),39,2.5,165.0,194319.2,546980.7,261.4,25.56,10.23,3000.0,1.6,194291.2,546952.7,69,29,3113.6,33.14,400.0,119.05
E1 저층부 확대(경계 확장),39,2.5,157.5,194319.2,546966.7,192.4,21.93,8.77,3200.0,2.2,194305.2,546966.7,69,35,3323.0,35.37,400.0,119.05
E2 층수 하향(범위 밖 참고),39,3.0,150.0,194315.2,546960.7,606.2,42.65,14.22,2000.0,1.6,194315.2,546960.7,69,51,2092.9,22.28,400.0,119.05
E2 층수 하향(범위 밖 참고),35,3.0,150.0,194315.2,546976.7,703.2,45.93,15.31,2000.0,1.6,194299.2,546944.7,69,52,2092.9,22.28,400.0,107.25
E2 층수 하향(범위 밖 참고),25,2.5,150.0,194299.2,546960.7,638.7,39.96,15.98,2800.0,1.6,194299.2,546944.7,69,41,2909.8,30.97,400.0,77.75
E1 저층부 확대(경계 확장),45,2.5,157.5,194263.2,546938.7,388.0,31.14,12.46,2400.0,1.6,194277.2,546952.7,70,26,2501.7,26.63,400.0,136.75
E1 저층부 확대(경계 확장),45,2.5,150.0,194347.2,546980.7,273.7,26.16,10.46,2800.0,1.6,194319.2,546966.7,70,32,2909.8,30.97,400.0,136.75
E1 저층부 확대(경계 확장),45,2.5,172.5,194319.2,546952.7,216.6,23.27,9.31,3000.0,3.0,194291.2,546966.7,70,19,3127.5,33.29,400.0,136.75
E1 저층부 확대(경계 확장),43,2.5,172.5,194333.2,546980.7,411.5,32.07,12.83,2400.0,1.6,194305.2,546952.7,70,42,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,3.5,150.0,194333.2,546994.7,411.5,37.95,10.84,2400.0,1.6,194305.2,546952.7,70,43,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,2.0,172.5,194319.2,546966.7,290.3,24.1,12.05,2800.0,3.0,194305.2,546966.7,70,34,2923.2,31.11,400.0,130.85
E1 저층부 확대(경계 확장),43,3.5,165.0,194319.2,546966.7,290.3,31.88,9.11,2800.0,2.2,194305.2,546966.7,70,41,2915.2,31.03,400.0,130.85
E1 저층부 확대(경계 확장),43,2.0,172.5,194319.2,546980.7,229.7,21.43,10.72,3000.0,1.6,194291.2,546952.7,70,29,3113.6,33.14,400.0,130.85
E1 저층부 확대(경계 확장),43,3.5,150.0,194333.2,546980.7,229.7,28.35,8.1,3000.0,1.6,194291.2,546952.7,70,20,3113.6,33.14,400.0,130.85
E1 저층부 확대(경계 확장),41,3.5,157.5,194277.2,546924.7,438.1,39.16,11.19,2400.0,1.6,194291.2,546938.7,70,25,2501.7,26.63,400.0,124.95
E1 저층부 확대(경계 확장),41,2.5,150.0,194319.2,546994.7,309.0,27.8,11.12,2800.0,3.0,194305.2,546952.7,70,39,2923.2,31.11,400.0,124.95
E1 저층부 확대(경계 확장),41,3.5,172.5,194333.2,546980.7,244.5,29.25,8.36,3000.0,1.6,194319.2,546966.7,70,32,3113.6,33.14,400.0,124.95
E1 저층부 확대(경계 확장),39,2.5,172.5,194277.2,546938.7,330.3,28.74,11.5,2800.0,1.6,194291.2,546938.7,70,28,2909.8,30.97,400.0,119.05
E2 층수 하향(범위 밖 참고),39,2.0,150.0,194315.2,546976.7,606.2,34.82,17.41,2000.0,1.6,194315.2,546960.7,70,48,2092.9,22.28,400.0,119.05
E2 층수 하향(범위 밖 참고),39,3.0,165.0,194331.2,546976.7,330.3,31.48,10.49,2800.0,2.2,194299.2,546960.7,70,34,2915.2,31.03,400.0,119.05
E2 층수 하향(범위 밖 참고),35,3.0,165.0,194315.2,546960.7,383.2,33.91,11.3,2800.0,1.6,194315.2,546976.7,70,29,2909.8,30.97,400.0,107.25
E2 층수 하향(범위 밖 참고),20,2.0,150.0,194315.2,546976.7,958.0,43.77,21.89,2800.0,3.0,194315.2,546960.7,70,36,2923.2,31.11,400.0,63.0
E1 저층부 확대(경계 확장),45,2.5,165.0,194305.2,546952.7,388.0,31.14,12.46,2400.0,3.0,194305.2,546938.7,71,55,2514.1,26.76,400.0,136.75
E1 저층부 확대(경계 확장),45,2.5,165.0,194333.2,546966.7,388.0,31.14,12.46,2400.0,3.0,194291.2,546966.7,71,17,2514.1,26.76,400.0,136.75
E1 저층부 확대(경계 확장),45,2.0,165.0,194305.2,546952.7,216.6,20.81,10.41,3000.0,1.6,194305.2,546952.7,71,52,3113.6,33.14,400.0,136.75
E1 저층부 확대(경계 확장),43,2.0,165.0,194319.2,546952.7,290.3,24.1,12.05,2800.0,1.6,194291.2,546966.7,71,37,2909.8,30.97,400.0,130.85
E1 저층부 확대(경계 확장),43,3.0,150.0,194305.2,546980.7,229.7,26.25,8.75,3000.0,3.0,194291.2,546966.7,71,24,3127.5,33.29,400.0,130.85
E1 저층부 확대(경계 확장),41,3.0,157.5,194319.2,546966.7,309.0,30.45,10.15,2800.0,3.0,194305.2,546966.7,71,32,2923.2,31.11,400.0,124.95
E1 저층부 확대(경계 확장),41,3.0,165.0,194291.2,546966.7,309.0,30.45,10.15,2800.0,1.6,194291.2,546938.7,71,34,2909.8,30.97,400.0,124.95
E1 저층부 확대(경계 확장),41,2.0,157.5,194333.2,546994.7,244.5,22.11,11.06,3000.0,1.6,194319.2,546966.7,71,32,3113.6,33.14,400.0,124.95
E1 저층부 확대(경계 확장),41,2.0,165.0,194305.2,546952.7,244.5,22.11,11.06,3000.0,1.6,194305.2,546952.7,71,52,3113.6,33.14,400.0,124.95
E1 저층부 확대(경계 확장),41,2.5,157.5,194347.2,546980.7,244.5,24.72,9.89,3000.0,2.2,194291.2,546952.7,71,8,3119.2,33.2,400.0,124.95
E1 저층부 확대(경계 확장),41,2.5,172.5,194305.2,546952.7,244.5,24.72,9.89,3000.0,1.6,194291.2,546952.7,71,30,3113.6,33.14,400.0,124.95
E1 저층부 확대(경계 확장),39,2.0,165.0,194305.2,546966.7,468.3,30.6,15.3,2400.0,1.6,194305.2,546952.7,71,54,2501.7,26.63,400.0,119.05
E1 저층부 확대(경계 확장),39,3.0,150.0,194333.2,546980.7,261.4,28.0,9.33,3000.0,2.2,194305.2,546966.7,71,34,3119.2,33.2,400.0,119.05
E2 층수 하향(범위 밖 참고),39,3.0,150.0,194331.2,546976.7,330.3,31.48,10.49,2800.0,1.6,194299.2,546960.7,71,37,2909.8,30.97,400.0,119.05
E2 층수 하향(범위 밖 참고),20,3.0,150.0,194299.2,546960.7,958.0,53.61,17.87,2800.0,1.6,194299.2,546944.7,71,40,2909.8,30.97,400.0,63.0
E1 저층부 확대(경계 확장),45,2.5,150.0,194333.2,546966.7,216.6,23.27,9.31,3000.0,2.2,194291.2,546966.7,72,21,3119.2,33.2,400.0,136.75
E1 저층부 확대(경계 확장),43,3.0,165.0,194333.2,546966.7,411.5,35.14,11.71,2400.0,1.6,194319.2,546980.7,72,28,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,3.5,165.0,194319.2,546980.7,229.7,28.35,8.1,3000.0,2.2,194305.2,546966.7,72,38,3119.2,33.2,400.0,130.85
E1 저층부 확대(경계 확장),41,3.0,165.0,194333.2,546994.7,244.5,27.08,9.03,3000.0,1.6,194319.2,546966.7,72,32,3113.6,33.14,400.0,124.95
E1 저층부 확대(경계 확장),41,2.5,165.0,194305.2,546952.7,180.0,21.21,8.49,3200.0,1.6,194291.2,546952.7,72,27,3317.3,35.31,400.0,124.95
E1 저층부 확대(경계 확장),39,2.5,157.5,194319.2,546980.7,261.4,25.56,10.23,3000.0,1.6,194319.2,546966.7,72,33,3113.6,33.14,400.0,119.05
E2 층수 하향(범위 밖 참고),39,2.0,150.0,194315.2,546960.7,606.2,34.82,17.41,2000.0,3.0,194315.2,546944.7,72,52,2104.3,22.4,400.0,119.05
E2 층수 하향(범위 밖 참고),35,2.0,150.0,194331.2,546976.7,383.2,27.68,13.84,2800.0,4.0,194299.2,546960.7,72,24,2933.3,31.22,400.0,107.25
E2 층수 하향(범위 밖 참고),25,3.0,150.0,194331.2,546992.7,638.7,43.77,14.59,2800.0,3.0,194315.2,546960.7,72,35,2923.2,31.11,400.0,77.75
E1 저층부 확대(경계 확장),41,3.0,165.0,194277.2,546938.7,438.1,36.25,12.08,2400.0,1.6,194291.2,546938.7,73,31,2501.7,26.63,400.0,124.95
E1 저층부 확대(경계 확장),41,2.5,157.5,194333.2,546966.7,309.0,27.8,11.12,2800.0,3.0,194291.2,546966.7,73,12,2923.2,31.11,400.0,124.95
E1 저층부 확대(경계 확장),41,2.0,157.5,194333.2,546966.7,180.0,18.97,9.49,3200.0,3.0,194291.2,546966.7,73,11,3331.6,35.46,400.0,124.95
E1 저층부 확대(경계 확장),41,3.0,150.0,194347.2,546980.7,180.0,23.24,7.75,3200.0,2.2,194305.2,546966.7,73,25,3323.0,35.37,400.0,124.95
E1 저층부 확대(경계 확장),41,3.0,157.5,194347.2,546980.7,180.0,23.24,7.75,3200.0,1.6,194291.2,546952.7,73,9,3317.3,35.31,400.0,124.95
E1 저층부 확대(경계 확장),41,3.0,172.5,194319.2,546980.7,180.0,23.24,7.75,3200.0,3.0,194291.2,546966.7,73,22,3331.6,35.46,400.0,124.95
E1 저층부 확대(경계 확장),39,2.0,165.0,194319.2,546980.7,330.3,25.7,12.85,2800.0,2.2,194291.2,546952.7,73,27,2915.2,31.03,400.0,119.05
E1 저층부 확대(경계 확장),39,2.0,150.0,194319.2,546980.7,261.4,22.86,11.43,3000.0,2.2,194291.2,546952.7,73,25,3119.2,33.2,400.0,119.05
E2 층수 하향(범위 밖 참고),35,2.0,165.0,194267.2,546944.7,383.2,27.68,13.84,2800.0,4.0,194315.2,546944.7,73,27,2933.3,31.22,400.0,107.25
E2 층수 하향(범위 밖 참고),30,2.5,165.0,194315.2,546976.7,879.0,46.88,18.75,2000.0,1.6,194315.2,546976.7,73,38,2092.9,22.28,400.0,92.5
E2 층수 하향(범위 밖 참고),25,2.5,150.0,194331.2,546992.7,638.7,39.96,15.98,2800.0,4.0,194299.2,546960.7,73,24,2933.3,31.22,400.0,77.75
E2 층수 하향(범위 밖 참고),20,2.5,150.0,194299.2,546960.7,358.0,29.92,11.97,3400.0,1.6,194299.2,546960.7,73,39,3520.9,37.48,400.0,63.0
E1 저층부 확대(경계 확장),45,2.0,165.0,194333.2,546980.7,216.6,20.81,10.41,3000.0,3.0,194305.2,546966.7,74,29,3127.5,33.29,400.0,136.75
E1 저층부 확대(경계 확장),45,3.0,157.5,194333.2,546994.7,216.6,25.49,8.5,3000.0,2.2,194291.2,546952.7,74,16,3119.2,33.2,400.0,136.75
E1 저층부 확대(경계 확장),43,2.5,157.5,194305.2,546952.7,411.5,32.07,12.83,2400.0,1.6,194305.2,546952.7,74,52,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,3.5,172.5,194333.2,546980.7,229.7,28.35,8.1,3000.0,2.2,194291.2,546952.7,74,19,3119.2,33.2,400.0,130.85
E1 저층부 확대(경계 확장),41,2.0,150.0,194305.2,546952.7,438.1,29.6,14.8,2400.0,1.6,194291.2,546938.7,74,38,2501.7,26.63,400.0,124.95
E1 저층부 확대(경계 확장),41,2.0,157.5,194305.2,546966.7,438.1,29.6,14.8,2400.0,3.0,194305.2,546938.7,74,52,2514.1,26.76,400.0,124.95
E1 저층부 확대(경계 확장),41,3.0,165.0,194333.2,546980.7,438.1,36.25,12.08,2400.0,2.2,194291.2,546952.7,74,18,2506.7,26.68,400.0,124.95
E1 저층부 확대(경계 확장),41,3.0,165.0,194305.2,546952.7,244.5,27.08,9.03,3000.0,2.2,194291.2,546952.7,74,30,3119.2,33.2,400.0,124.95
E1 저층부 확대(경계 확장),39,3.5,157.5,194305.2,546966.7,261.4,30.25,8.64,3000.0,2.2,194305.2,546966.7,74,39,3119.2,33.2,400.0,119.05
E2 층수 하향(범위 밖 참고),35,2.5,165.0,194299.2,546960.7,703.2,41.93,16.77,2000.0,2.2,194299.2,546944.7,74,45,2097.5,22.33,400.0,107.25
E2 층수 하향(범위 밖 참고),30,2.0,165.0,194331.2,546992.7,479.0,30.95,15.48,2800.0,4.0,194299.2,546960.7,74,25,2933.3,31.22,400.0,92.5
E2 층수 하향(범위 밖 참고),30,2.5,150.0,194299.2,546976.7,479.0,34.6,13.84,2800.0,2.2,194299.2,546944.7,74,37,2915.2,31.03,400.0,92.5
E2 층수 하향(범위 밖 참고),25,2.0,150.0,194315.2,546960.7,638.7,35.74,17.87,2800.0,3.0,194299.2,546960.7,74,28,2923.2,31.11,400.0,77.75
E1 저층부 확대(경계 확장),43,2.5,157.5,194333.2,546966.7,411.5,32.07,12.83,2400.0,1.6,194319.2,546980.7,75,28,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),43,2.5,150.0,194333.2,546980.7,290.3,26.94,10.78,2800.0,2.2,194319.2,546966.7,75,34,2915.2,31.03,400.0,130.85
E1 저층부 확대(경계 확장),41,2.0,172.5,194319.2,546966.7,438.1,29.6,14.8,2400.0,2.2,194291.2,546966.7,75,35,2506.7,26.68,400.0,124.95
E1 저층부 확대(경계 확장),41,2.5,172.5,194319.2,546994.7,180.0,21.21,8.49,3200.0,1.6,194305.2,546966.7,75,39,3317.3,35.31,400.0,124.95
E1 저층부 확대(경계 확장),39,3.0,157.5,194333.2,546980.7,468.3,37.48,12.49,2400.0,4.0,194305.2,546966.7,75,33,2523.5,26.86,400.0,119.05
E1 저층부 확대(경계 확장),39,3.0,165.0,194333.2,546980.7,261.4,28.0,9.33,3000.0,1.6,194305.2,546966.7,75,34,3113.6,33.14,400.0,119.05
E1 저층부 확대(경계 확장),39,3.0,172.5,194305.2,546938.7,192.4,24.03,8.01,3200.0,2.2,194305.2,546952.7,75,46,3323.0,35.37,400.0,119.05
E1 저층부 확대(경계 확장),39,3.5,157.5,194319.2,546994.7,192.4,25.95,7.41,3200.0,1.6,194291.2,546952.7,75,23,3317.3,35.31,400.0,119.05
E1 저층부 확대(경계 확장),45,2.0,172.5,194305.2,546966.7,388.0,27.86,13.93,2400.0,2.2,194291.2,546952.7,76,34,2506.7,26.68,400.0,136.75
E1 저층부 확대(경계 확장),43,2.0,150.0,194263.2,546938.7,411.5,28.69,14.34,2400.0,3.0,194319.2,546952.7,76,22,2514.1,26.76,400.0,130.85
E1 저층부 확대(경계 확장),43,2.0,150.0,194305.2,546966.7,290.3,24.1,12.05,2800.0,2.2,194291.2,546952.7,76,30,2915.2,31.03,400.0,130.85
E1 저층부 확대(경계 확장),43,2.5,157.5,194305.2,546966.7,290.3,26.94,10.78,2800.0,3.0,194305.2,546952.7,76,44,2923.2,31.11,400.0,130.85
E1 저층부 확대(경계 확장),41,2.0,165.0,194263.2,546938.7,309.0,24.86,12.43,2800.0,3.0,194319.2,546952.7,76,22,2923.2,31.11,400.0,124.95
E1 저층부 확대(경계 확장),41,2.5,157.5,194319.2,546994.7,180.0,21.21,8.49,3200.0,1.6,194319.2,546966.7,76,32,3317.3,35.31,400.0,124.95
E1 저층부 확대(경계 확장),39,2.0,172.5,194319.2,546966.7,330.3,25.7,12.85,2800.0,2.2,194291.2,546966.7,76,30,2915.2,31.03,400.0,119.05
E2 층수 하향(범위 밖 참고),39,3.0,150.0,194315.2,546976.7,606.2,42.65,14.22,2000.0,3.0,194299.2,546960.7,76,47,2104.3,22.4,400.0,119.05
E2 층수 하향(범위 밖 참고),39,2.0,150.0,194299.2,546960.7,330.3,25.7,12.85,2800.0,2.2,194299.2,546944.7,76,37,2915.2,31.03,400.0,119.05
E2 층수 하향(범위 밖 참고),35,2.5,150.0,194315.2,546976.7,703.2,41.93,16.77,2000.0,1.6,194299.2,546960.7,76,46,2092.9,22.28,400.0,107.25
E2 층수 하향(범위 밖 참고),35,3.0,150.0,194315.2,546976.7,383.2,33.91,11.3,2800.0,2.2,194283.2,546960.7,76,24,2915.2,31.03,400.0,107.25
E2 층수 하향(범위 밖 참고),25,3.0,150.0,194315.2,546976.7,638.7,43.77,14.59,2800.0,1.6,194315.2,546976.7,76,28,2909.8,30.97,400.0,77.75
E1 저층부 확대(경계 확장),45,3.5,150.0,194333.2,546980.7,388.0,36.85,10.53,2400.0,1.6,194305.2,546966.7,77,37,2501.7,26.63,400.0,136.75
E1 저층부 확대(경계 확장),45,3.0,150.0,194333.2,546994.7,216.6,25.49,8.5,3000.0,2.2,194305.2,546966.7,77,32,3119.2,33.2,400.0,136.75
E1 저층부 확대(경계 확장),43,3.5,165.0,194305.2,546952.7,411.5,37.95,10.84,2400.0,3.0,194305.2,546952.7,77,52,2514.1,26.76,400.0,130.85
E1 저층부 확대(경계 확장),39,2.0,150.0,194333.2,546980.7,330.3,25.7,12.85,2800.0,2.2,194305.2,546966.7,77,35,2915.2,31.03,400.0,119.05
E1 저층부 확대(경계 확장),39,3.0,172.5,194305.2,546980.7,330.3,31.48,10.49,2800.0,2.2,194305.2,546980.7,77,34,2915.2,31.03,400.0,119.05
E2 층수 하향(범위 밖 참고),35,2.5,165.0,194331.2,546992.7,383.2,30.95,12.38,2800.0,2.2,194299.2,546960.7,77,30,2915.2,31.03,400.0,107.25
E1 저층부 확대(경계 확장),45,3.5,172.5,194333.2,546980.7,388.0,36.85,10.53,2400.0,2.2,194291.2,546952.7,78,19,2506.7,26.68,400.0,136.75
E1 저층부 확대(경계 확장),45,2.5,165.0,194333.2,546994.7,216.6,23.27,9.31,3000.0,3.0,194305.2,546966.7,78,29,3127.5,33.29,400.0,136.75
E1 저층부 확대(경계 확장),41,2.0,165.0,194333.2,546980.7,309.0,24.86,12.43,2800.0,3.0,194305.2,546966.7,78,29,2923.2,31.11,400.0,124.95
E1 저층부 확대(경계 확장),39,2.0,150.0,194277.2,546924.7,468.3,30.6,15.3,2400.0,1.6,194291.2,546938.7,78,26,2501.7,26.63,400.0,119.05
E1 저층부 확대(경계 확장),39,2.0,157.5,194305.2,546966.7,330.3,25.7,12.85,2800.0,3.0,194305.2,546952.7,78,42,2923.2,31.11,400.0,119.05
E2 층수 하향(범위 밖 참고),35,3.0,165.0,194315.2,546976.7,703.2,45.93,15.31,2000.0,1.6,194299.2,546976.7,78,45,2092.9,22.28,400.0,107.25
E2 층수 하향(범위 밖 참고),25,2.0,165.0,194331.2,546976.7,638.7,35.74,17.87,2800.0,1.6,194283.2,546960.7,78,11,2909.8,30.97,400.0,77.75
E1 저층부 확대(경계 확장),45,2.5,172.5,194319.2,546980.7,388.0,31.14,12.46,2400.0,1.6,194305.2,546966.7,79,45,2501.7,26.63,400.0,136.75
E1 저층부 확대(경계 확장),45,2.5,157.5,194319.2,546966.7,273.7,26.16,10.46,2800.0,2.2,194291.2,546966.7,79,29,2915.2,31.03,400.0,136.75
E1 저층부 확대(경계 확장),45,2.5,172.5,194305.2,546966.7,273.7,26.16,10.46,2800.0,1.6,194305.2,546966.7,79,46,2909.8,30.97,400.0,136.75
E1 저층부 확대(경계 확장),43,2.0,150.0,194319.2,546994.7,411.5,28.69,14.34,2400.0,1.6,194305.2,546952.7,79,48,2501.7,26.63,400.0,130.85
E1 저층부 확대(경계 확장),41,2.0,165.0,194319.2,546994.7,244.5,22.11,11.06,3000.0,1.6,194291.2,546952.7,79,24,3113.6,33.14,400.0,124.95
