stage,floors,aspect,azimuth,x,y,tower_plate,tower_long,tower_short,podium_plate,podium_aspect,podium_x,podium_y,new_fail,new_ok,coverage_m2,bcr_pct,far_pct,height_m
E1 저층부 확대(경계 확장),41,3.5,157.5,194333.2,546966.7,309.0,32.89,9.4,2800.0,4.0,194305.2,546952.7,46,37,2933.3,31.22,400.0,124.95
E1 저층부 확대(경계 확장),39,3.5,165.0,194333.2,546966.7,261.4,30.25,8.64,3000.0,2.2,194305.2,546952.7,46,41,3119.2,33.2,400.0,119.05
E2 층수 하향(범위 밖 참고),39,2.5,150.0,194315.2,546960.7,330.3,28.74,11.5,2800.0,1.6,194299.2,546944.7,46,51,2909.8,30.97,400.0,119.05
E1 저층부 확대(경계 확장),41,2.5,165.0,194333.2,546966.7,438.1,33.09,13.24,2400.0,3.0,194319.2,546952.7,47,46,2514.1,26.76,400.0,124.95
E2 층수 하향(범위 밖 참고),35,2.0,150.0,194315.2,546960.7,383.2,27.68,13.84,2800.0,1.6,194299.2,546944.7,47,51,2909.8,30.97,400.0,107.25
E2 층수 하향(범위 밖 참고),35,2.0,165.0,194315.2,546960.7,383.2,27.68,13.84,2800.0,4.0,194315.2,546944.7,47,45,2933.3,31.22,400.0,107.25
E1 저층부 확대(경계 확장),45,3.5,165.0,194319.2,546966.7,388.0,36.85,10.53,2400.0,4.0,194305.2,546952.7,48,44,2523.5,26.86,400.0,136.75
E1 저층부 확대(경계 확장),45,2.5,150.0,194319.2,546952.7,273.7,26.16,10.46,2800.0,3.0,194319.2,546952.7,48,44,2923.2,31.11,400.0,136.75
E1 저층부 확대(경계 확장),41,3.0,172.5,194319.2,546952.7,244.5,27.08,9.03,3000.0,1.6,194305.2,546952.7,48,50,3113.6,33.14,400.0,124.95
E1 저층부 확대(경계 확장),41,3.5,157.5,194319.2,546966.7,244.5,29.25,8.36,3000.0,3.0,194305.2,546952.7,48,39,3127.5,33.29,400.0,124.95
E1 저층부 확대(경계 확장),45,3.5,157.5,194333.2,546980.7,388.0,36.85,10.53,2400.0,3.0,194305.2,546938.7,49,48,2514.1,26.76,400.0,136.75
E1 저층부 확대(경계 확장),45,3.5,172.5,194319.2,546952.7,216.6,27.53,7.87,3000.0,1.6,194305.2,546952.7,49,50,3113.6,33.14,400.0,136.75
E1 저층부 확대(경계 확장),43,3.5,157.5,194319.2,546966.7,411.5,37.95,10.84,2400.0,2.2,194319.2,546952.7,49,48,2506.7,26.68,400.0,130.85
E1 저층부 확대(경계 확장),43,2.5,150.0,194333.2,546966.7,229.7,23.96,9.59,3000.0,3.0,194319.2,546952.7,49,45,3127.5,33.29,400.0,130.85
E1 저층부 확대(경계 확장),39,2.0,150.0,194319.2,546952.7,330.3,25.7,12.85,2800.0,1.6,194291.2,546938.7,49,41,2909.8,30.97,400.0,119.05
E1 저층부 확대(경계 확장),39,2.5,165.0,194319.2,546966.7,330.3,28.74,11.5,2800.0,2.2,194305.2,546952.7,49,50,2915.2,31.03,400.0,119.05
