수광점ID,학교,종류,교사동/운동장,수광면,층,번호,수광점정의,X,Y,Z,S1_총일조h,S1_연속h,S1_기준A,S2_총일조h,S2_연속h,S2_기준A,Δ총일조h,Δ연속h,변화
여의도고등학교 ①(4층) 1층-1,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,1,일반식,194115.41,547347.94,1.2,5.67,5.67,충족,5.67,5.67,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 2층-1,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,1,일반식,194115.41,547347.94,4.7,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 3층-1,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,1,일반식,194115.41,547347.94,8.2,6.33,6.33,충족,6.33,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 4층-1,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,1,일반식,194115.41,547347.94,11.7,6.83,6.83,충족,6.83,6.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 1층-2,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,2,일반식,194111.43,547344.89,1.2,5.67,5.67,충족,5.67,5.67,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 2층-2,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,2,일반식,194111.43,547344.89,4.7,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 3층-2,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,2,일반식,194111.43,547344.89,8.2,6.33,6.33,충족,6.33,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 4층-2,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,2,일반식,194111.43,547344.89,11.7,7.0,7.0,충족,7.0,7.0,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 1층-3,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,3,일반식,194107.45,547341.84,1.2,5.83,5.83,충족,5.83,5.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 2층-3,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,3,일반식,194107.45,547341.84,4.7,6.0,6.0,충족,6.0,6.0,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 3층-3,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,3,일반식,194107.45,547341.84,8.2,6.33,6.33,충족,6.33,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 4층-3,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,3,일반식,194107.45,547341.84,11.7,6.83,6.83,충족,6.83,6.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 1층-4,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,4,일반식,194103.47,547338.78,1.2,5.83,5.83,충족,5.83,5.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 2층-4,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,2,4,일반식,194103.47,547338.78,4.7,5.83,5.83,충족,5.83,5.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 3층-4,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,3,4,일반식,194103.47,547338.78,8.2,6.33,6.33,충족,6.33,6.33,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 4층-4,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,4,4,일반식,194103.47,547338.78,11.7,6.83,6.83,충족,6.83,6.83,충족,0.0,0.0,유지 충족
여의도고등학교 ①(4층) 1층-5,여의도고등학교,교사동 창면,여의도고등학교 ①(4층),남향외벽,1,5,일반식,194099.49,547335.73,1.2,5.83,5.83,충족,5.83,5.83,충족,0.0,0.0,유지 충족
