층수,종횡비,방위,기준층㎡,장변m,단변m,높이m,외형선㎡,코어폭m,시공가능,장변직각이격m,필요이격m,교사동기준A%,불충족평균h,교실평균h,운동장기준A%,한강조망%,중심X,중심Y
35,1.75,165.0,1073.7,43.35,24.77,107.2,1287.1,10.4,예,26.9,26.8,77.9,1.29,3.72,68.3,80.8,194315.2,546968.7
40,2.0,150.0,939.5,43.35,21.67,122.0,1143.6,7.31,예,30.8,30.5,77.2,1.41,3.71,67.6,81.8,194319.2,546964.7
60,2.0,150.0,626.3,35.39,17.7,181.0,794.6,3.33,아니오,47.1,45.2,75.6,1.56,3.76,67.1,87.6,194311.2,546952.7
50,2.5,150.0,751.6,43.35,17.34,151.5,942.7,2.97,아니오,38.6,37.9,75.5,1.55,3.71,67.4,85.6,194315.2,546960.7
45,2.5,150.0,835.1,45.69,18.28,136.8,1036.0,3.91,예,35.5,34.2,75.3,1.53,3.7,67.2,83.2,194315.2,546964.7
55,2.0,150.0,683.3,36.97,18.48,166.2,858.6,4.12,예,43.9,41.6,73.7,1.58,3.74,67.3,86.8,194303.2,546952.7
