순위,중심E,중심N,기준A충족%,기준B충족%,현황대비%p,학교최악%p,조망전층%,조망저층%,최소이격m,채광2배충족,채광4배충족,불충족점수,불충족평균확보h,학교30-1%,학교40-1%,학교40-2%,학교40-3%
50,194321.18,546956.7,85.1,81.3,2.5,-4.4,89.6,62.0,6.1,X,X,101,1.42,81.6,84.3,84.8,100.0
51,194321.18,546954.7,85.0,81.2,2.4,-4.4,89.6,62.0,4.5,X,X,102,1.44,81.1,84.3,84.8,100.0
52,194321.18,546958.7,85.1,81.3,2.5,-4.4,89.3,60.7,7.7,X,X,101,1.42,81.6,84.3,84.8,100.0
53,194339.18,546972.7,85.1,81.3,2.5,-5.2,90.3,64.4,7.6,X,X,101,1.34,82.5,83.5,84.8,100.0
54,194339.18,546976.7,85.1,81.3,2.5,-5.2,90.3,64.4,6.3,X,X,101,1.33,82.5,83.5,84.8,100.0
55,194321.18,546970.7,85.1,81.3,2.5,-5.2,90.0,63.2,17.1,X,X,101,1.37,82.5,83.5,84.8,100.0
56,194323.18,546972.7,85.1,80.6,2.5,-5.2,90.0,63.2,17.5,X,X,101,1.36,82.5,83.5,84.8,100.0
57,194323.18,546974.7,85.1,80.6,2.5,-5.2,90.0,63.2,19.0,X,X,101,1.36,82.5,83.5,84.8,100.0
58,194339.18,546974.7,85.1,81.3,2.5,-5.2,90.0,63.2,7.5,X,X,101,1.34,82.5,83.5,84.8,100.0
59,194339.18,546978.7,85.1,81.2,2.5,-5.2,90.0,63.2,5.1,X,X,101,1.32,82.5,83.5,84.8,100.0
60,194323.18,546970.7,85.1,80.6,2.5,-5.2,89.8,62.7,15.9,X,X,101,1.36,82.5,83.5,84.8,100.0
61,194323.18,546976.7,85.1,80.6,2.5,-5.2,89.6,62.0,18.9,X,X,101,1.36,82.5,83.5,84.8,100.0
62,194323.18,546956.7,85.0,81.2,2.4,-5.2,89.6,62.0,4.9,X,X,102,1.41,82.1,83.5,84.8,100.0
63,194321.18,546968.7,85.1,81.3,2.5,-5.2,89.5,61.5,15.5,X,X,101,1.37,82.5,83.5,84.8,100.0
64,194321.18,546972.7,85.1,81.3,2.5,-5.2,89.5,61.5,18.7,X,X,101,1.37,82.5,83.5,84.8,100.0
65,194321.18,546974.7,85.1,80.6,2.5,-5.2,89.5,61.5,20.2,X,X,101,1.37,82.5,83.5,84.8,100.0
66,194339.18,546970.7,85.1,81.3,2.5,-5.2,89.5,61.5,6.0,X,X,101,1.34,82.5,83.5,84.8,100.0
67,194323.18,546978.7,85.0,80.6,2.4,-5.2,89.5,61.5,17.7,X,X,102,1.37,82.5,83.5,84.1,100.0
68,194321.18,546978.7,85.1,80.6,2.5,-5.2,89.4,61.0,17.1,X,X,101,1.36,82.5,83.5,84.8,100.0
69,194323.18,546966.7,85.1,81.3,2.5,-5.2,89.4,61.0,12.7,X,X,101,1.37,82.5,83.5,84.8,100.0
70,194323.18,546968.7,85.1,80.6,2.5,-5.2,89.4,61.0,14.3,X,X,101,1.36,82.5,83.5,84.8,100.0
71,194323.18,546958.7,85.1,81.3,2.5,-5.2,89.3,60.7,6.4,X,X,101,1.38,82.5,83.5,84.8,100.0
72,194323.18,546960.7,85.1,81.3,2.5,-5.2,89.3,60.7,8.0,X,X,101,1.38,82.5,83.5,84.8,100.0
73,194323.18,546962.7,85.1,81.3,2.5,-5.2,89.3,60.7,9.6,X,X,101,1.37,82.5,83.5,84.8,100.0
74,194323.18,546964.7,85.1,81.3,2.5,-5.2,89.3,60.7,11.2,X,X,101,1.37,82.5,83.5,84.8,100.0
75,194321.18,546976.7,85.1,80.6,2.5,-5.2,89.2,60.5,18.7,X,X,101,1.36,82.5,83.5,84.8,100.0
76,194341.18,546972.7,85.0,81.2,2.4,-5.6,90.3,64.4,6.4,X,X,102,1.35,82.5,83.1,84.8,100.0
77,194341.18,546974.7,85.0,81.2,2.4,-5.6,90.3,64.4,5.9,X,X,102,1.34,82.5,83.1,84.8,100.0
78,194341.18,546976.7,85.0,81.2,2.4,-5.6,90.3,64.4,4.7,X,X,102,1.34,82.5,83.1,84.8,100.0
79,194341.18,546978.7,84.9,81.0,2.2,-5.6,90.3,64.4,3.5,X,X,103,1.35,82.1,83.1,84.8,100.0
80,194341.18,546970.7,85.0,81.2,2.4,-5.6,89.8,62.7,4.8,X,X,102,1.36,82.5,83.1,84.8,100.0
81,194343.18,546970.7,85.0,81.0,2.4,-5.6,89.8,62.7,3.6,X,X,102,1.35,82.5,83.1,84.8,100.0
82,194317.18,546978.7,84.7,80.3,2.1,-4.0,89.4,61.0,14.6,X,X,104,1.44,82.5,84.7,80.8,100.0
83,194319.18,546978.7,84.6,79.9,1.9,-5.2,89.4,61.0,15.9,X,X,105,1.44,82.5,83.5,82.1,100.0
