family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일,5 미세조정,43,43,145.9,71,38,37580,400.0,8974,46554,942,10.02,0.041,,,1,3.578,17.99,43층 874㎡(48.6×18.0m)
단일,5 미세조정,43,43,145.9,71,37,37580,400.0,9194,46774,943,10.04,0.034,,,1,3.577,17.07,43층 874㎡(51.2×17.1m)
단일,5 미세조정,55,55,185.5,72,34,37580,400.0,11479,49059,751,7.99,0.075,,,1,3.5,12.68,55층 683㎡(53.9×12.7m)
단일,5 미세조정,53,53,178.9,72,38,37580,400.0,9749,47329,768,8.18,0.032,,,1,3.6,17.28,53층 709㎡(41.0×17.3m)
단일,5 미세조정,50,50,169.0,72,38,37580,400.0,9752,47332,815,8.67,0.029,,,1,3.563,16.52,50층 752㎡(45.5×16.5m)
단일,5 미세조정,49,49,165.7,72,38,37580,400.0,9725,47305,831,8.85,0.02,,,1,3.559,16.4,49층 767㎡(46.8×16.4m)
단일,5 미세조정,49,49,165.7,72,37,37580,400.0,10171,47751,834,8.88,0.028,,,1,3.538,14.98,49층 767㎡(51.2×15.0m)
단일,5 미세조정,48,48,162.4,72,37,37580,400.0,10200,47780,852,9.07,0.02,,,1,3.546,14.75,48층 783㎡(53.1×14.7m)
단일,1b 층수·세장비,47,47,159.1,72,38,37580,400.0,9631,47211,866,9.22,0.026,,,1,3.572,16.33,47층 800㎡(49.0×16.3m)
단일,5 미세조정,45,45,152.5,72,37,37580,400.0,9190,46770,901,9.59,0.031,,,1,3.564,17.59,45층 835㎡(47.5×17.6m)
단일,5 미세조정,55,55,185.5,73,36,37580,400.0,11479,49059,751,7.99,0.061,,,1,3.501,12.68,55층 683㎡(53.9×12.7m)
단일,5 미세조정,54,54,182.2,73,38,37580,400.0,10553,48133,759,8.08,0.021,,,1,3.525,14.66,54층 696㎡(47.5×14.7m)
단일,5 미세조정,53,53,178.9,73,38,37580,400.0,9849,47429,769,8.19,0.031,,,1,3.589,16.84,53층 709㎡(42.1×16.8m)
단일,5 미세조정,53,53,178.9,73,37,37580,400.0,10318,47898,772,8.22,0.024,,,1,3.558,15.18,53층 709㎡(46.7×15.2m)
단일,5 미세조정,53,53,178.9,73,36,37580,400.0,12138,49718,783,8.34,0.045,,,1,3.481,11.46,53층 709㎡(61.9×11.5m)
단일,5 미세조정,52,52,175.6,73,38,37580,400.0,10032,47612,785,8.36,0.03,,,1,3.559,15.92,52층 723㎡(45.4×15.9m)
단일,5 미세조정,52,52,175.6,73,38,37580,400.0,10555,48135,788,8.39,0.024,,,1,3.54,14.37,52층 723㎡(50.3×14.4m)
단일,5 미세조정,52,52,175.6,73,38,37580,400.0,10216,47796,786,8.37,0.02,,,1,3.53,15.32,52층 723㎡(47.2×15.3m)
단일,5 미세조정,51,51,172.3,73,37,37580,400.0,10755,48335,805,8.57,0.026,,,1,3.532,13.77,51층 737㎡(53.5×13.8m)
단일,5 미세조정,50,50,169.0,73,38,37580,400.0,9947,47527,816,8.68,0.035,,,1,3.548,15.83,50층 752㎡(47.5×15.8m)
