family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label,corridor_gap,pair_gap,swap
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,90,13,37580,400.0,11123,48703,2056,21.89,0.063,5.0,0.14,4,3.769,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.54473447240889,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,90,14,37580,400.0,11123,48703,2056,21.89,0.058,5.0,0.14,4,3.745,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),65.659294301935,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,90,14,37580,400.0,11123,48703,2056,21.89,0.051,6.0,0.17,4,3.739,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),65.65929430213146,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,91,13,37580,400.0,11123,48703,2056,21.89,0.095,6.0,0.17,4,3.765,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),61.24119691266242,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,91,13,37580,400.0,11123,48703,2056,21.89,0.07,4.0,0.11,4,3.744,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.59714225159405,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,91,13,37580,400.0,11123,48703,2056,21.89,0.063,5.0,0.14,4,3.737,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.54473447221244,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,92,11,37580,400.0,11123,48703,2056,21.89,0.058,5.0,0.14,4,3.781,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),65.659294301935,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,92,13,37580,400.0,11123,48703,2056,21.89,0.151,6.0,0.17,4,3.768,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),67.3924085663457,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,92,12,37580,400.0,11123,48703,2056,21.89,0.109,4.0,0.11,4,3.742,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),61.241196912269515,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,92,12,37580,400.0,11123,48703,2056,21.89,0.102,5.0,0.14,4,3.735,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),61.241196912269515,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,92,13,37580,400.0,11123,48703,2056,21.89,0.055,6.0,0.17,4,3.728,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.49232669302728,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,93,11,37580,400.0,11123,48703,2056,21.89,0.051,6.0,0.17,4,3.772,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),65.659294301935,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,93,13,37580,400.0,11123,48703,2056,21.89,0.055,6.0,0.17,4,3.761,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),58.49232669322373,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,93,13,37580,400.0,11412,48992,2061,21.94,0.062,4.0,1.0,4,3.742,17.13,20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m),70.5955846813813,4.0,True
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,95,13,37580,400.0,11123,48703,2056,21.89,0.124,4.0,0.11,4,3.762,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),64.75679549951747,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,95,12,37580,400.0,11123,48703,2056,21.89,0.095,6.0,0.17,4,3.728,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),61.241196912465966,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,97,8,37580,400.0,11123,48703,2056,21.89,0.122,4.0,0.11,4,3.759,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),59.50808264805528,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,97,13,37580,400.0,11123,48703,2056,21.89,0.117,5.0,0.14,4,3.755,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),64.7043877199394,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,97,6,37580,400.0,11123,48703,2056,21.89,0.115,5.0,0.14,4,3.755,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),59.50808264805528,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,97,13,37580,400.0,11123,48703,2056,21.89,0.109,6.0,0.17,4,3.749,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),64.6519799409507,6.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,97,12,37580,400.0,11412,48992,2061,21.94,0.043,4.0,1.0,4,3.725,17.13,20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m),62.43514936950669,4.0,True
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,97,9,37580,400.0,11412,48992,2061,21.94,0.043,5.0,1.25,4,3.718,17.13,20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m),62.43514936950669,5.0,True
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,97,9,37580,400.0,11412,48992,2061,21.94,0.043,6.0,1.5,4,3.713,17.13,20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m),62.43514936950669,6.0,True
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,98,15,37580,400.0,11412,48992,2061,21.94,0.043,4.0,1.0,4,3.758,17.13,20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m),62.43514936950669,4.0,True
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,98,12,37580,400.0,11123,48703,2056,21.89,0.083,4.0,0.11,4,3.75,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.86164955471031,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,99,15,37580,400.0,11412,48992,2061,21.94,0.043,5.0,1.25,4,3.752,17.13,20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m),62.43514936970314,5.0,True
