순위,코드,계열,형상,기준층㎡,층수,직사각형도,장단비,동서폭m,대지수용,기준A충족%,기준B충족%,현황대비%p,학교최악%p,불충족점수,불충족평균확보h,학교30-1%,학교40-1%,학교40-2%,학교40-3%
114,S186,Y형,'Y' 자 / 회전 30°,683.3,55,0.35,1.15,41.1,가능,81.8,75.6,-0.9,-4.4,124,1.65,78.8,84.3,73.5,100.0
115,S190,Y형,'Y' 자 / 회전 150°,683.3,55,0.35,1.15,41.1,가능,81.8,75.6,-0.9,-4.4,124,1.65,78.8,84.3,73.5,100.0
116,S194,Y형,'Y' 자 / 회전 270°,683.3,55,0.35,1.15,41.1,가능,81.8,75.6,-0.9,-4.4,124,1.65,78.8,84.3,73.5,100.0
117,S036,직사각형,직사각형 2:1 / 회전 150°,683.3,55,1.0,2.0,41.3,가능,81.3,75.4,-1.3,-3.8,127,1.63,78.8,85.9,68.9,100.0
118,S047,직사각형,직사각형 2.5:1 / 회전 135°,683.3,55,1.0,2.5,40.9,가능,81.3,75.9,-1.3,-3.8,127,1.67,78.8,85.9,68.9,100.0
119,S059,직사각형,직사각형 3:1 / 회전 135°,683.3,55,1.0,3.0,42.7,가능,81.2,75.4,-1.5,-4.2,128,1.66,78.3,85.9,68.9,100.0
120,S066,직사각형,직사각형 4:1 / 회전 60°,683.3,55,1.0,4.0,37.5,가능,81.3,75.9,-1.3,-4.2,127,1.71,78.3,84.7,71.5,100.0
121,S113,타원,타원 2.4:1 / 회전 150°,683.3,55,0.784,2.4,40.7,가능,81.3,75.9,-1.3,-3.8,127,1.67,78.8,85.9,68.9,100.0
122,S114,타원,타원 2.4:1 / 회전 165°,683.3,55,0.784,2.4,44.5,가능,81.3,75.4,-1.3,-3.8,127,1.61,78.8,85.9,68.9,100.0
123,S178,T형,'T' 자 / 회전 150°,683.3,55,0.539,1.61,44.6,가능,81.0,74.7,-1.6,-4.2,129,1.63,78.3,85.5,68.9,100.0
124,S134,V(<)형,'<' 벌림 120° / 회전 210°,683.3,55,0.439,2.39,36.0,가능,81.3,76.2,-1.3,-3.8,127,1.57,78.8,85.9,68.9,100.0
125,S138,V(<)형,'<' 벌림 120° / 회전 330°,683.3,55,0.439,2.39,36.0,가능,81.3,76.3,-1.3,-4.4,127,1.75,78.3,84.3,72.2,100.0
126,S039,직사각형,직사각형 2.5:1 / 회전 15°,683.3,55,1.0,2.5,44.2,가능,80.6,73.8,-2.1,-3.8,132,1.68,78.8,85.1,66.9,100.0
127,S048,직사각형,직사각형 2.5:1 / 회전 150°,683.3,55,1.0,2.5,44.1,가능,80.6,74.6,-2.1,-4.2,132,1.68,78.3,85.9,66.2,100.0
128,S071,직사각형,직사각형 4:1 / 회전 135°,683.3,55,1.0,4.0,46.2,가능,80.9,75.4,-1.8,-4.2,130,1.63,78.3,85.1,68.9,100.0
129,S065,직사각형,직사각형 4:1 / 회전 45°,683.3,55,1.0,4.0,46.2,가능,80.4,74.1,-2.2,-5.2,133,1.7,78.8,83.5,68.9,100.0
130,S104,타원,타원 2.4:1 / 회전 15°,683.3,55,0.784,2.4,44.5,가능,80.7,74.0,-1.9,-4.7,131,1.72,77.8,84.3,70.2,100.0
131,S197,십자형,'+' 십자 / 회전 0°,683.3,55,0.553,1.0,40.0,가능,80.9,74.0,-1.8,-3.8,130,1.7,78.8,85.9,66.9,100.0
132,S198,십자형,'+' 십자 / 회전 45°,683.3,55,0.553,1.0,35.2,가능,80.9,74.4,-1.8,-3.8,130,1.68,78.8,85.9,66.9,100.0
133,S122,V(<)형,'<' 벌림 90° / 회전 210°,683.3,55,0.476,1.0,38.0,가능,80.9,74.7,-1.8,-4.2,130,1.64,78.3,85.1,68.9,100.0
134,S037,직사각형,직사각형 2:1 / 회전 165°,683.3,55,1.0,2.0,40.5,가능,80.1,73.2,-2.5,-3.8,135,1.73,78.8,85.9,63.6,100.0
135,S038,직사각형,직사각형 2.5:1 / 회전 0°,683.3,55,1.0,2.5,41.3,가능,80.0,73.1,-2.6,-3.8,136,1.69,78.8,85.5,63.6,100.0
136,S177,T형,'T' 자 / 회전 120°,683.3,55,0.539,1.61,38.3,가능,80.3,74.9,-2.4,-3.3,134,1.81,79.2,85.9,63.6,100.0
137,S176,T형,'T' 자 / 회전 90°,683.3,55,0.539,1.61,28.1,가능,80.1,74.1,-2.5,-3.8,135,1.69,78.8,85.9,63.6,100.0
138,S181,T형,'T' 자 / 회전 240°,683.3,55,0.539,1.61,38.3,가능,80.1,73.8,-2.5,-3.8,135,1.7,78.8,85.9,63.6,100.0
139,S129,V(<)형,'<' 벌림 120° / 회전 60°,683.3,55,0.439,2.39,52.9,가능,80.3,73.2,-2.4,-5.2,134,1.5,78.3,83.5,68.9,100.0
140,S049,직사각형,직사각형 2.5:1 / 회전 165°,683.3,55,1.0,2.5,44.2,가능,79.9,72.9,-2.8,-4.2,137,1.71,78.3,85.5,63.6,100.0
141,S050,직사각형,직사각형 3:1 / 회전 0°,683.3,55,1.0,3.0,45.3,가능,79.7,72.4,-2.9,-4.7,138,1.68,77.8,85.5,63.6,100.0
142,S060,직사각형,직사각형 3:1 / 회전 150°,683.3,55,1.0,3.0,46.8,가능,79.7,73.1,-2.9,-4.2,138,1.73,78.3,85.1,63.6,100.0
143,S052,직사각형,직사각형 3:1 / 회전 30°,683.3,55,1.0,3.0,46.8,가능,79.6,73.7,-3.1,-5.2,139,1.78,77.4,83.5,66.9,100.0
144,S072,직사각형,직사각형 4:1 / 회전 150°,683.3,55,1.0,4.0,51.8,가능,79.4,71.9,-3.2,-5.2,140,1.68,77.4,85.1,63.6,100.0
145,S103,타원,타원 2.4:1 / 회전 0°,683.3,55,0.784,2.4,45.8,가능,79.6,72.6,-3.1,-4.4,139,1.73,78.8,84.3,63.6,100.0
146,S167,L(ㄱ)형,'ㄱ' 직각 / 회전 180°,683.3,55,0.476,1.0,37.9,가능,79.7,73.5,-2.9,-5.2,138,1.71,77.4,85.9,63.6,100.0
147,S120,V(<)형,'<' 벌림 90° / 회전 150°,683.3,55,0.476,1.0,38.0,가능,79.4,73.1,-3.2,-4.6,140,1.77,78.8,85.9,60.3,100.0
148,S162,L(ㄱ)형,'ㄱ' 직각 / 회전 30°,683.3,55,0.476,1.0,51.8,가능,79.4,73.4,-3.2,-5.2,140,1.67,77.4,83.5,66.2,100.0
149,S173,T형,'T' 자 / 회전 0°,683.3,55,0.539,1.61,45.2,가능,79.7,72.6,-2.9,-4.7,138,1.71,77.8,85.5,63.6,100.0
150,S184,T형,'T' 자 / 회전 330°,683.3,55,0.539,1.61,44.6,가능,79.4,72.8,-3.2,-5.2,140,1.72,77.4,85.1,63.6,100.0
151,S187,Y형,'Y' 자 / 회전 60°,683.3,55,0.35,1.15,47.5,가능,79.4,72.9,-3.2,-5.2,140,1.67,77.4,85.5,62.9,100.0
152,S191,Y형,'Y' 자 / 회전 180°,683.3,55,0.35,1.15,47.5,가능,79.4,72.9,-3.2,-5.2,140,1.67,77.4,85.5,62.9,100.0
153,S195,Y형,'Y' 자 / 회전 300°,683.3,55,0.35,1.15,47.5,가능,79.4,72.9,-3.2,-5.2,140,1.67,77.4,85.5,62.9,100.0
154,S061,직사각형,직사각형 3:1 / 회전 165°,683.3,55,1.0,3.0,47.6,가능,79.3,71.8,-3.4,-5.2,141,1.72,77.4,84.7,63.6,100.0
155,S123,V(<)형,'<' 벌림 90° / 회전 240°,683.3,55,0.476,1.0,46.4,가능,79.1,73.4,-3.5,-4.7,142,1.72,77.8,85.9,60.3,100.0
156,S180,T형,'T' 자 / 회전 210°,683.3,55,0.539,1.61,44.6,가능,79.3,73.2,-3.4,-4.6,141,1.72,78.8,85.5,60.3,100.0
157,S150,V(<)형,'<' 벌림 140° / 회전 330°,683.3,55,0.507,3.02,38.9,가능,79.1,73.4,-3.5,-4.4,142,1.86,78.3,84.3,62.3,100.0
