학교,층,X,Y,Z,창면방위,현황_연속h,현황_총h,현황_충족,신축_연속h,신축_총h,신축_충족,총h변화
30-1 여의도고등학교,3,194191.4,547267.08,8.2,232.0,5.83,5.83,충족,4.17,5.33,충족,-0.5
30-1 여의도고등학교,4,194191.4,547267.08,11.7,232.0,6.0,6.0,충족,4.17,5.5,충족,-0.5
30-1 여의도고등학교,1,194188.29,547271.05,1.2,232.0,4.17,4.17,충족,2.83,3.83,충족,-0.34
30-1 여의도고등학교,2,194188.29,547271.05,4.7,232.0,5.17,5.17,충족,3.67,4.83,충족,-0.34
30-1 여의도고등학교,3,194188.29,547271.05,8.2,232.0,5.83,5.83,충족,4.17,5.5,충족,-0.33
30-1 여의도고등학교,4,194188.29,547271.05,11.7,232.0,5.83,5.83,충족,4.17,5.5,충족,-0.33
30-1 여의도고등학교,1,194185.18,547275.03,1.2,232.0,4.67,4.67,충족,3.33,4.33,충족,-0.34
30-1 여의도고등학교,2,194185.18,547275.03,4.7,232.0,5.67,5.67,충족,4.17,5.33,충족,-0.34
30-1 여의도고등학교,3,194185.18,547275.03,8.2,232.0,5.67,5.67,충족,4.17,5.33,충족,-0.34
30-1 여의도고등학교,4,194185.18,547275.03,11.7,232.0,5.67,5.67,충족,4.17,5.33,충족,-0.34
30-1 여의도고등학교,1,194182.08,547279.0,1.2,232.0,5.0,5.0,충족,3.67,4.67,충족,-0.33
30-1 여의도고등학교,2,194182.08,547279.0,4.7,232.0,5.33,5.33,충족,4.0,5.0,충족,-0.33
30-1 여의도고등학교,3,194182.08,547279.0,8.2,232.0,5.33,5.33,충족,4.0,5.0,충족,-0.33
30-1 여의도고등학교,4,194182.08,547279.0,11.7,232.0,5.33,5.33,충족,4.0,5.0,충족,-0.33
30-1 여의도고등학교,1,194178.97,547282.98,1.2,232.0,5.17,5.17,충족,4.0,4.83,충족,-0.34
30-1 여의도고등학교,2,194178.97,547282.98,4.7,232.0,5.17,5.17,충족,4.0,4.83,충족,-0.34
30-1 여의도고등학교,3,194178.97,547282.98,8.2,232.0,5.17,5.17,충족,4.0,4.83,충족,-0.34
30-1 여의도고등학교,4,194178.97,547282.98,11.7,232.0,5.33,5.33,충족,4.0,5.0,충족,-0.33
30-1 여의도고등학교,1,194175.86,547286.95,1.2,232.0,5.0,5.0,충족,4.0,4.67,충족,-0.33
30-1 여의도고등학교,2,194175.86,547286.95,4.7,232.0,5.0,5.0,충족,4.0,4.67,충족,-0.33
30-1 여의도고등학교,3,194175.86,547286.95,8.2,232.0,5.17,5.17,충족,4.0,4.83,충족,-0.34
30-1 여의도고등학교,4,194175.86,547286.95,11.7,232.0,5.33,5.33,충족,4.0,5.0,충족,-0.33
30-1 여의도고등학교,1,194172.75,547290.93,1.2,232.0,4.83,4.83,충족,3.83,4.5,충족,-0.33
30-1 여의도고등학교,2,194172.75,547290.93,4.7,232.0,5.0,5.0,충족,3.83,4.67,충족,-0.33
30-1 여의도고등학교,3,194172.75,547290.93,8.2,232.0,5.17,5.17,충족,4.0,5.0,충족,-0.17
30-1 여의도고등학교,4,194172.75,547290.93,11.7,232.0,5.5,5.5,충족,4.0,5.33,충족,-0.17
30-1 여의도고등학교,1,194169.64,547294.9,1.2,232.0,4.83,4.83,충족,3.83,4.5,충족,-0.33
30-1 여의도고등학교,2,194169.64,547294.9,4.7,232.0,5.0,5.0,충족,3.83,4.67,충족,-0.33
30-1 여의도고등학교,3,194169.64,547294.9,8.2,232.0,5.33,5.33,충족,4.0,5.17,충족,-0.16
30-1 여의도고등학교,4,194169.64,547294.9,11.7,232.0,5.33,5.33,충족,5.33,5.33,충족,0.0
30-1 여의도고등학교,1,194166.53,547298.87,1.2,232.0,4.83,5.0,충족,3.83,4.67,충족,-0.33
30-1 여의도고등학교,2,194166.53,547298.87,4.7,232.0,5.0,5.17,충족,3.83,4.83,충족,-0.34
30-1 여의도고등학교,3,194166.53,547298.87,8.2,232.0,5.17,5.33,충족,5.17,5.33,충족,0.0
30-1 여의도고등학교,4,194166.53,547298.87,11.7,232.0,5.33,5.5,충족,5.33,5.5,충족,0.0
30-1 여의도고등학교,1,194163.42,547302.85,1.2,232.0,4.83,5.17,충족,3.83,5.0,충족,-0.17
30-1 여의도고등학교,2,194163.42,547302.85,4.7,232.0,5.0,5.33,충족,3.83,5.17,충족,-0.16
30-1 여의도고등학교,3,194163.42,547302.85,8.2,232.0,5.17,5.5,충족,5.17,5.5,충족,0.0
30-1 여의도고등학교,4,194163.42,547302.85,11.7,232.0,5.33,5.83,충족,5.33,5.83,충족,0.0
30-1 여의도고등학교,1,194160.31,547306.82,1.2,232.0,4.83,5.33,충족,3.83,5.17,충족,-0.16
30-1 여의도고등학교,2,194160.31,547306.82,4.7,232.0,5.0,5.5,충족,5.0,5.5,충족,0.0
30-1 여의도고등학교,3,194160.31,547306.82,8.2,232.0,6.0,6.0,충족,6.0,6.0,충족,0.0
30-1 여의도고등학교,4,194160.31,547306.82,11.7,232.0,6.0,6.0,충족,6.0,6.0,충족,0.0
30-1 여의도고등학교,1,194157.2,547310.8,1.2,232.0,4.83,5.33,충족,4.83,5.33,충족,0.0
30-1 여의도고등학교,2,194157.2,547310.8,4.7,232.0,5.83,5.83,충족,5.83,5.83,충족,0.0
30-1 여의도고등학교,3,194157.2,547310.8,8.2,232.0,5.83,5.83,충족,5.83,5.83,충족,0.0
30-1 여의도고등학교,4,194157.2,547310.8,11.7,232.0,6.0,6.0,충족,6.0,6.0,충족,0.0
30-1 여의도고등학교,1,194154.09,547314.77,1.2,232.0,5.67,5.67,충족,5.67,5.67,충족,0.0
30-1 여의도고등학교,2,194154.09,547314.77,4.7,232.0,5.67,5.67,충족,5.67,5.67,충족,0.0
30-1 여의도고등학교,3,194154.09,547314.77,8.2,232.0,5.83,5.83,충족,5.83,5.83,충족,0.0
30-1 여의도고등학교,4,194154.09,547314.77,11.7,232.0,6.0,6.0,충족,6.0,6.0,충족,0.0
30-1 여의도고등학교,1,194150.98,547318.75,1.2,232.0,5.5,5.5,충족,5.5,5.5,충족,0.0
30-1 여의도고등학교,2,194150.98,547318.75,4.7,232.0,5.67,5.67,충족,5.67,5.67,충족,0.0
30-1 여의도고등학교,3,194150.98,547318.75,8.2,232.0,5.83,5.83,충족,5.83,5.83,충족,0.0
30-1 여의도고등학교,4,194150.98,547318.75,11.7,232.0,6.0,6.0,충족,6.0,6.0,충족,0.0
30-1 여의도고등학교,1,194147.87,547322.72,1.2,232.0,5.5,5.5,충족,5.5,5.5,충족,0.0
30-1 여의도고등학교,2,194147.87,547322.72,4.7,232.0,5.67,5.67,충족,5.67,5.67,충족,0.0
30-1 여의도고등학교,3,194147.87,547322.72,8.2,232.0,5.83,5.83,충족,5.83,5.83,충족,0.0
30-1 여의도고등학교,4,194147.87,547322.72,11.7,232.0,6.0,6.0,충족,6.0,6.0,충족,0.0
30-1 여의도고등학교,1,194144.76,547326.7,1.2,232.0,5.5,5.5,충족,5.5,5.5,충족,0.0
30-1 여의도고등학교,2,194144.76,547326.7,4.7,232.0,5.83,5.83,충족,5.83,5.83,충족,0.0
30-1 여의도고등학교,3,194144.76,547326.7,8.2,232.0,5.83,5.83,충족,5.83,5.83,충족,0.0
30-1 여의도고등학교,4,194144.76,547326.7,11.7,232.0,6.0,6.0,충족,6.0,6.0,충족,0.0
30-1 여의도고등학교,1,194141.66,547330.67,1.2,232.0,5.67,5.67,충족,5.67,5.67,충족,0.0
30-1 여의도고등학교,2,194141.66,547330.67,4.7,232.0,5.67,5.67,충족,5.67,5.67,충족,0.0
30-1 여의도고등학교,3,194141.66,547330.67,8.2,232.0,5.83,5.83,충족,5.83,5.83,충족,0.0
30-1 여의도고등학교,4,194141.66,547330.67,11.7,232.0,6.0,6.0,충족,6.0,6.0,충족,0.0
30-1 여의도고등학교,1,194138.55,547334.64,1.2,232.0,5.5,5.5,충족,5.5,5.5,충족,0.0
30-1 여의도고등학교,2,194138.55,547334.64,4.7,232.0,5.67,5.67,충족,5.67,5.67,충족,0.0
30-1 여의도고등학교,3,194138.55,547334.64,8.2,232.0,5.83,5.83,충족,5.83,5.83,충족,0.0
30-1 여의도고등학교,4,194138.55,547334.64,11.7,232.0,5.83,5.83,충족,5.83,5.83,충족,0.0
30-1 여의도고등학교,1,194135.44,547338.62,1.2,232.0,5.5,5.5,충족,5.5,5.5,충족,0.0
30-1 여의도고등학교,2,194135.44,547338.62,4.7,232.0,5.67,5.67,충족,5.67,5.67,충족,0.0
30-1 여의도고등학교,3,194135.44,547338.62,8.2,232.0,5.67,5.67,충족,5.67,5.67,충족,0.0
30-1 여의도고등학교,4,194135.44,547338.62,11.7,232.0,5.67,5.67,충족,5.67,5.67,충족,0.0
30-1 여의도고등학교,1,194132.33,547342.59,1.2,232.0,5.33,5.33,충족,5.33,5.33,충족,0.0
30-1 여의도고등학교,2,194132.33,547342.59,4.7,232.0,5.33,5.33,충족,5.33,5.33,충족,0.0
30-1 여의도고등학교,3,194132.33,547342.59,8.2,232.0,5.33,5.33,충족,5.33,5.33,충족,0.0
30-1 여의도고등학교,4,194132.33,547342.59,11.7,232.0,5.33,5.33,충족,5.33,5.33,충족,0.0
30-1 여의도고등학교,1,194129.22,547346.57,1.2,232.0,5.17,5.17,충족,5.17,5.17,충족,0.0
30-1 여의도고등학교,2,194129.22,547346.57,4.7,232.0,5.17,5.17,충족,5.17,5.17,충족,0.0
30-1 여의도고등학교,3,194129.22,547346.57,8.2,232.0,5.17,5.17,충족,5.17,5.17,충족,0.0
30-1 여의도고등학교,4,194129.22,547346.57,11.7,232.0,5.33,5.33,충족,5.33,5.33,충족,0.0
30-1 여의도고등학교,1,194126.11,547350.54,1.2,232.0,5.0,5.0,충족,5.0,5.0,충족,0.0
30-1 여의도고등학교,2,194126.11,547350.54,4.7,232.0,5.0,5.0,충족,5.0,5.0,충족,0.0
30-1 여의도고등학교,3,194126.11,547350.54,8.2,232.0,5.17,5.17,충족,5.17,5.17,충족,0.0
30-1 여의도고등학교,4,194126.11,547350.54,11.7,232.0,5.33,5.33,충족,5.33,5.33,충족,0.0
30-1 여의도고등학교,1,194123.0,547354.52,1.2,232.0,4.83,4.83,충족,4.83,4.83,충족,0.0
30-1 여의도고등학교,2,194123.0,547354.52,4.7,232.0,5.0,5.0,충족,5.0,5.0,충족,0.0
30-1 여의도고등학교,3,194123.0,547354.52,8.2,232.0,5.17,5.17,충족,5.17,5.17,충족,0.0
30-1 여의도고등학교,4,194123.0,547354.52,11.7,232.0,5.5,5.5,충족,5.5,5.5,충족,0.0
30-1 여의도고등학교,1,194188.39,547220.35,1.2,141.3,4.0,6.67,충족,4.0,5.83,충족,-0.84
30-1 여의도고등학교,2,194188.39,547220.35,4.7,141.3,4.17,6.83,충족,4.17,6.0,충족,-0.83
30-1 여의도고등학교,3,194188.39,547220.35,8.2,141.3,4.5,7.17,충족,4.5,6.33,충족,-0.84
30-1 여의도고등학교,1,194184.36,547217.11,1.2,141.3,3.33,6.33,충족,3.33,5.33,충족,-1.0
30-1 여의도고등학교,2,194184.36,547217.11,4.7,141.3,3.67,6.67,충족,3.67,5.67,충족,-1.0
30-1 여의도고등학교,3,194184.36,547217.11,8.2,141.3,4.17,7.0,충족,4.17,6.0,충족,-1.0
30-1 여의도고등학교,1,194180.32,547213.88,1.2,141.3,3.0,6.0,충족,3.0,4.67,충족,-1.33
30-1 여의도고등학교,2,194180.32,547213.88,4.7,141.3,3.17,6.17,충족,3.17,5.0,충족,-1.17
30-1 여의도고등학교,3,194180.32,547213.88,8.2,141.3,3.67,6.67,충족,3.67,5.5,충족,-1.17
30-1 여의도고등학교,1,194176.28,547210.64,1.2,141.3,3.33,6.0,충족,2.67,4.67,충족,-1.33
30-1 여의도고등학교,2,194176.28,547210.64,4.7,141.3,3.33,6.17,충족,2.83,4.83,충족,-1.34
30-1 여의도고등학교,3,194176.28,547210.64,8.2,141.3,3.33,6.33,충족,3.0,5.17,충족,-1.16
30-1 여의도고등학교,1,194172.24,547207.41,1.2,141.3,3.67,6.17,충족,2.5,4.83,충족,-1.34
30-1 여의도고등학교,2,194172.24,547207.41,4.7,141.3,3.67,6.17,충족,2.5,4.83,충족,-1.34
30-1 여의도고등학교,3,194172.24,547207.41,8.2,141.3,3.67,6.33,충족,2.67,5.0,충족,-1.33
30-1 여의도고등학교,1,194168.21,547204.17,1.2,141.3,2.17,5.83,충족,2.17,4.5,충족,-1.33
30-1 여의도고등학교,2,194168.21,547204.17,4.7,141.3,4.0,6.17,충족,2.17,4.83,충족,-1.34
30-1 여의도고등학교,3,194168.21,547204.17,8.2,141.3,4.0,6.33,충족,2.33,5.0,충족,-1.33
30-1 여의도고등학교,1,194164.17,547200.94,1.2,141.3,2.0,5.67,충족,1.83,4.5,충족,-1.17
30-1 여의도고등학교,2,194164.17,547200.94,4.7,141.3,4.33,6.33,충족,2.0,5.0,충족,-1.33
30-1 여의도고등학교,3,194164.17,547200.94,8.2,141.3,4.33,6.33,충족,2.0,5.0,충족,-1.33
30-1 여의도고등학교,1,194160.24,547203.37,1.2,232.4,2.33,4.5,충족,1.17,3.0,불충족,-1.5
30-1 여의도고등학교,2,194160.24,547203.37,4.7,232.4,4.67,4.67,충족,1.17,3.17,불충족,-1.5
30-1 여의도고등학교,3,194160.24,547203.37,8.2,232.4,4.67,4.67,충족,1.17,3.17,불충족,-1.5
30-1 여의도고등학교,1,194157.08,547207.47,1.2,232.4,4.67,4.67,충족,1.33,3.17,불충족,-1.5
30-1 여의도고등학교,2,194157.08,547207.47,4.7,232.4,4.67,4.67,충족,1.33,3.33,불충족,-1.34
30-1 여의도고등학교,3,194157.08,547207.47,8.2,232.4,4.67,4.67,충족,1.33,3.33,불충족,-1.34
30-1 여의도고등학교,1,194153.92,547211.57,1.2,232.4,4.67,4.67,충족,1.33,3.5,불충족,-1.17
30-1 여의도고등학교,2,194153.92,547211.57,4.7,232.4,4.83,4.83,충족,1.5,3.83,불충족,-1.0
30-1 여의도고등학교,3,194153.92,547211.57,8.2,232.4,4.83,4.83,충족,1.5,3.83,불충족,-1.0
30-1 여의도고등학교,1,194230.36,547270.46,1.2,143.1,0.83,1.33,불충족,0.83,1.33,불충족,0.0
30-1 여의도고등학교,1,194226.08,547267.25,1.2,143.1,0.0,0.0,불충족,0.0,0.0,불충족,0.0
30-1 여의도고등학교,1,194221.81,547264.03,1.2,143.1,0.0,0.0,불충족,0.0,0.0,불충족,0.0
30-1 여의도고등학교,1,194217.53,547260.82,1.2,143.1,0.0,0.0,불충족,0.0,0.0,불충족,0.0
30-1 여의도고등학교,1,194212.97,547259.66,1.2,233.1,0.0,0.0,불충족,0.0,0.0,불충족,0.0
30-1 여의도고등학교,1,194209.75,547263.94,1.2,233.1,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,1,194253.63,547057.42,1.2,141.8,6.17,6.17,충족,3.5,4.17,충족,-2.0
40-2 여의도여자고등학교,2,194253.63,547057.42,4.7,141.8,6.17,6.17,충족,3.5,4.17,충족,-2.0
40-2 여의도여자고등학교,3,194253.63,547057.42,8.2,141.8,6.33,6.33,충족,3.67,4.5,충족,-1.83
40-2 여의도여자고등학교,4,194253.63,547057.42,11.7,141.8,6.67,6.67,충족,4.0,4.83,충족,-1.84
40-2 여의도여자고등학교,5,194253.63,547057.42,15.2,141.8,7.0,7.0,충족,4.17,5.0,충족,-2.0
40-2 여의도여자고등학교,1,194249.61,547054.26,1.2,141.8,5.83,6.33,충족,3.83,4.67,충족,-1.66
40-2 여의도여자고등학교,2,194249.61,547054.26,4.7,141.8,6.5,6.5,충족,3.83,4.67,충족,-1.83
40-2 여의도여자고등학교,3,194249.61,547054.26,8.2,141.8,6.67,6.67,충족,4.0,5.0,충족,-1.67
40-2 여의도여자고등학교,4,194249.61,547054.26,11.7,141.8,6.83,6.83,충족,4.17,5.17,충족,-1.66
40-2 여의도여자고등학교,5,194249.61,547054.26,15.2,141.8,7.17,7.17,충족,4.33,5.33,충족,-1.84
40-2 여의도여자고등학교,1,194245.59,547051.1,1.2,141.8,4.67,6.17,충족,2.67,4.83,충족,-1.34
40-2 여의도여자고등학교,2,194245.59,547051.1,4.7,141.8,6.67,6.67,충족,4.0,5.0,충족,-1.67
40-2 여의도여자고등학교,3,194245.59,547051.1,8.2,141.8,6.83,6.83,충족,4.17,5.17,충족,-1.66
40-2 여의도여자고등학교,4,194245.59,547051.1,11.7,141.8,6.83,6.83,충족,4.17,5.33,충족,-1.5
40-2 여의도여자고등학교,5,194245.59,547051.1,15.2,141.8,7.33,7.33,충족,4.33,5.5,충족,-1.83
40-2 여의도여자고등학교,1,194241.57,547047.94,1.2,141.8,4.5,6.0,충족,2.67,4.5,충족,-1.5
40-2 여의도여자고등학교,2,194241.57,547047.94,4.7,141.8,5.67,6.67,충족,3.0,4.83,충족,-1.84
40-2 여의도여자고등학교,3,194241.57,547047.94,8.2,141.8,6.83,6.83,충족,4.17,5.0,충족,-1.83
40-2 여의도여자고등학교,4,194241.57,547047.94,11.7,141.8,7.0,7.0,충족,4.33,5.33,충족,-1.67
40-2 여의도여자고등학교,5,194241.57,547047.94,15.2,141.8,7.17,7.17,충족,4.33,5.33,충족,-1.84
40-2 여의도여자고등학교,1,194237.56,547044.78,1.2,141.8,4.33,6.0,충족,2.5,4.5,충족,-1.5
40-2 여의도여자고등학교,2,194237.56,547044.78,4.7,141.8,5.67,6.83,충족,2.83,5.0,충족,-1.83
40-2 여의도여자고등학교,3,194237.56,547044.78,8.2,141.8,7.17,7.17,충족,4.33,5.33,충족,-1.84
40-2 여의도여자고등학교,4,194237.56,547044.78,11.7,141.8,7.17,7.17,충족,4.33,5.33,충족,-1.84
40-2 여의도여자고등학교,5,194237.56,547044.78,15.2,141.8,7.33,7.33,충족,4.33,5.5,충족,-1.83
40-2 여의도여자고등학교,1,194233.54,547041.62,1.2,141.8,4.33,5.67,충족,2.67,4.33,충족,-1.34
40-2 여의도여자고등학교,2,194233.54,547041.62,4.7,141.8,4.83,6.33,충족,2.83,4.67,충족,-1.66
40-2 여의도여자고등학교,3,194233.54,547041.62,8.2,141.8,6.0,6.83,충족,3.17,5.0,충족,-1.83
40-2 여의도여자고등학교,4,194233.54,547041.62,11.7,141.8,6.33,7.17,충족,3.5,5.33,충족,-1.84
40-2 여의도여자고등학교,5,194233.54,547041.62,15.2,141.8,7.33,7.33,충족,4.5,5.67,충족,-1.66
40-2 여의도여자고등학교,1,194229.52,547038.47,1.2,141.8,4.5,5.67,충족,2.83,4.33,충족,-1.34
40-2 여의도여자고등학교,2,194229.52,547038.47,4.7,141.8,4.83,6.0,충족,2.83,4.33,충족,-1.67
40-2 여의도여자고등학교,3,194229.52,547038.47,8.2,141.8,5.83,6.5,충족,3.0,4.67,충족,-1.83
40-2 여의도여자고등학교,4,194229.52,547038.47,11.7,141.8,6.17,6.83,충족,3.33,5.0,충족,-1.83
40-2 여의도여자고등학교,5,194229.52,547038.47,15.2,141.8,6.5,7.17,충족,3.67,5.5,충족,-1.67
40-2 여의도여자고등학교,1,194225.5,547035.31,1.2,141.9,4.5,5.5,충족,2.83,4.17,충족,-1.33
40-2 여의도여자고등학교,2,194225.5,547035.31,4.7,141.9,5.0,6.0,충족,3.0,4.33,충족,-1.67
40-2 여의도여자고등학교,3,194225.5,547035.31,8.2,141.9,6.0,6.5,충족,3.0,4.5,충족,-2.0
40-2 여의도여자고등학교,4,194225.5,547035.31,11.7,141.9,6.17,6.67,충족,3.17,4.67,충족,-2.0
40-2 여의도여자고등학교,5,194225.5,547035.31,15.2,141.9,6.5,7.0,충족,3.5,5.0,충족,-2.0
40-2 여의도여자고등학교,1,194221.48,547032.15,1.2,141.9,4.5,5.17,충족,3.17,4.5,충족,-0.67
40-2 여의도여자고등학교,2,194221.48,547032.15,4.7,141.9,4.83,5.5,충족,3.17,4.5,충족,-1.0
40-2 여의도여자고등학교,3,194221.48,547032.15,8.2,141.9,5.17,6.0,충족,3.17,4.67,충족,-1.33
40-2 여의도여자고등학교,4,194221.48,547032.15,11.7,141.9,6.17,6.33,충족,3.33,4.83,충족,-1.5
40-2 여의도여자고등학교,5,194221.48,547032.15,15.2,141.9,6.33,6.5,충족,3.5,5.0,충족,-1.5
40-2 여의도여자고등학교,1,194217.62,547035.1,1.2,231.9,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,2,194217.62,547035.1,4.7,231.9,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,3,194217.62,547035.1,8.2,231.9,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,4,194217.62,547035.1,11.7,231.9,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,5,194217.62,547035.1,15.2,231.9,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,1,194214.47,547039.12,1.2,231.8,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,2,194214.47,547039.12,4.7,231.8,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,3,194214.47,547039.12,8.2,231.8,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,4,194214.47,547039.12,11.7,231.8,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,5,194214.47,547039.12,15.2,231.8,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,1,194241.83,547062.44,1.2,231.7,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,2,194241.83,547062.44,4.7,231.7,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,3,194241.83,547062.44,8.2,231.7,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,4,194241.83,547062.44,11.7,231.7,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,5,194241.83,547062.44,15.2,231.7,0.0,0.0,불충족,0.0,0.0,불충족,0.0
40-2 여의도여자고등학교,1,194218.98,547029.55,1.2,141.9,4.33,4.83,충족,3.0,4.0,충족,-0.83
40-2 여의도여자고등학교,2,194218.98,547029.55,4.7,141.9,4.83,5.33,충족,3.17,4.17,충족,-1.16
40-2 여의도여자고등학교,3,194218.98,547029.55,8.2,141.9,5.17,5.83,충족,3.17,4.17,충족,-1.66
40-2 여의도여자고등학교,4,194218.98,547029.55,11.7,141.9,6.33,6.33,충족,3.33,4.5,충족,-1.83
40-2 여의도여자고등학교,1,194214.87,547026.33,1.2,141.9,4.17,4.83,충족,3.17,4.17,충족,-0.66
40-2 여의도여자고등학교,2,194214.87,547026.33,4.7,141.9,4.5,5.17,충족,3.17,4.17,충족,-1.0
40-2 여의도여자고등학교,3,194214.87,547026.33,8.2,141.9,5.17,5.83,충족,3.33,4.33,충족,-1.5
40-2 여의도여자고등학교,4,194214.87,547026.33,11.7,141.9,6.5,6.5,충족,3.5,4.67,충족,-1.83
40-2 여의도여자고등학교,1,194210.76,547023.11,1.2,141.9,2.67,4.5,충족,1.83,3.83,불충족,-0.67
40-2 여의도여자고등학교,2,194210.76,547023.11,4.7,141.9,4.33,5.0,충족,3.17,4.17,충족,-0.83
40-2 여의도여자고등학교,3,194210.76,547023.11,8.2,141.9,5.0,5.67,충족,3.33,4.33,충족,-1.34
40-2 여의도여자고등학교,4,194210.76,547023.11,11.7,141.9,6.33,6.33,충족,3.33,4.5,충족,-1.83
40-2 여의도여자고등학교,1,194206.65,547019.88,1.2,141.9,2.33,3.83,충족,1.67,3.67,불충족,-0.16
40-2 여의도여자고등학교,2,194206.65,547019.88,4.7,141.9,3.0,4.5,충족,2.0,4.17,충족,-0.33
40-2 여의도여자고등학교,3,194206.65,547019.88,8.2,141.9,4.5,5.0,충족,3.17,4.33,충족,-0.67
40-2 여의도여자고등학교,4,194206.65,547019.88,11.7,141.9,5.17,6.0,충족,3.33,4.5,충족,-1.5
40-2 여의도여자고등학교,1,194202.54,547016.66,1.2,141.9,1.67,3.17,불충족,1.5,3.33,불충족,0.16
40-2 여의도여자고등학교,2,194202.54,547016.66,4.7,141.9,2.67,4.0,충족,1.83,3.67,불충족,-0.33
40-2 여의도여자고등학교,3,194202.54,547016.66,8.2,141.9,3.33,4.67,충족,2.17,4.17,충족,-0.5
40-2 여의도여자고등학교,4,194202.54,547016.66,11.7,141.9,4.67,5.33,충족,3.17,4.33,충족,-1.0
40-2 여의도여자고등학교,1,194198.42,547013.44,1.2,141.9,1.67,2.83,불충족,1.67,3.33,불충족,0.5
40-2 여의도여자고등학교,2,194198.42,547013.44,4.7,141.9,2.17,3.33,충족,1.67,3.33,불충족,0.0
40-2 여의도여자고등학교,3,194198.42,547013.44,8.2,141.9,2.83,4.17,충족,2.0,4.0,충족,-0.17
40-2 여의도여자고등학교,4,194198.42,547013.44,11.7,141.9,3.5,4.83,충족,2.33,4.33,충족,-0.5
40-2 여의도여자고등학교,1,194194.69,547016.28,1.2,236.2,1.0,1.33,불충족,1.17,2.5,불충족,1.17
40-2 여의도여자고등학교,2,194194.69,547016.28,4.7,236.2,1.5,1.83,불충족,1.17,2.5,불충족,0.67
40-2 여의도여자고등학교,3,194194.69,547016.28,8.2,236.2,1.83,2.17,불충족,1.17,2.67,불충족,0.5
40-2 여의도여자고등학교,4,194194.69,547016.28,11.7,236.2,2.17,2.67,충족,1.17,2.67,불충족,0.0
40-2 여의도여자고등학교,1,194191.85,547018.22,1.2,151.8,1.33,1.67,불충족,1.67,3.0,불충족,1.33
40-2 여의도여자고등학교,2,194191.85,547018.22,4.7,151.8,2.17,2.33,충족,1.83,3.17,불충족,0.84
40-2 여의도여자고등학교,3,194191.85,547018.22,8.2,151.8,2.83,3.0,충족,2.17,3.67,충족,0.67
40-2 여의도여자고등학교,4,194191.85,547018.22,11.7,151.8,3.5,4.17,충족,2.5,4.0,충족,-0.17
40-2 여의도여자고등학교,1,194188.15,547021.94,1.2,234.1,1.33,1.33,불충족,1.17,2.67,불충족,1.34
40-2 여의도여자고등학교,2,194188.15,547021.94,4.7,234.1,1.5,1.5,불충족,1.17,2.67,불충족,1.17
40-2 여의도여자고등학교,3,194188.15,547021.94,8.2,234.1,1.83,2.17,불충족,1.17,2.83,불충족,0.66
40-2 여의도여자고등학교,4,194188.15,547021.94,11.7,234.1,2.83,2.83,충족,1.17,2.83,불충족,0.0
40-2 여의도여자고등학교,1,194319.97,547030.8,1.2,142.1,1.67,2.17,불충족,1.67,2.17,불충족,0.0
40-2 여의도여자고등학교,2,194319.97,547030.8,4.7,142.1,1.83,3.0,불충족,1.83,2.67,불충족,-0.33
40-2 여의도여자고등학교,3,194319.97,547030.8,8.2,142.1,2.0,3.83,충족,2.0,3.33,충족,-0.5
40-2 여의도여자고등학교,4,194319.97,547030.8,11.7,142.1,2.5,4.67,충족,2.17,3.83,충족,-0.84
40-2 여의도여자고등학교,5,194319.97,547030.8,15.2,142.1,2.5,5.0,충족,2.5,4.17,충족,-0.83
40-2 여의도여자고등학교,1,194316.0,547027.71,1.2,142.1,1.5,2.33,불충족,1.5,2.33,불충족,0.0
40-2 여의도여자고등학교,2,194316.0,547027.71,4.7,142.1,1.5,3.17,불충족,1.5,2.83,불충족,-0.34
40-2 여의도여자고등학교,3,194316.0,547027.71,8.2,142.1,1.67,3.83,불충족,1.67,3.33,불충족,-0.5
40-2 여의도여자고등학교,4,194316.0,547027.71,11.7,142.1,1.83,4.5,충족,1.83,3.83,불충족,-0.67
40-2 여의도여자고등학교,5,194316.0,547027.71,15.2,142.1,3.17,5.0,충족,1.83,4.0,충족,-1.0
