동,최고높이m,제거시_전체회복%p,제거시_40-2 여의도여자고등학교_회복%p
104동,130.8,4.1,12.2
103동,127.9,1.8,6.5
101동,145.6,1.7,0.0
102동,145.6,1.3,0.0
저층부,9.0,0.0,0.0

시각,태양고도,태양방위,40-2 여의도여자고등학교_현황일조%,신축일조%,변화%p
08:00,1.8,121.7,4.1,4.1,0.0
09:00,11.3,131.7,28.0,28.0,0.0
10:00,19.4,143.3,40.2,40.2,0.0
11:00,25.3,156.7,64.2,64.2,0.0
12:00,28.6,171.7,58.1,51.6,-6.5
13:00,28.7,187.4,55.3,39.8,-15.4
14:00,25.6,202.5,51.6,33.3,-18.3
15:00,19.8,216.0,54.9,13.8,-41.1
16:00,11.8,227.7,0.0,0.0,0.0

층수저감,전체기준A변화%p,40-2 여의도여자고등학교_변화%p
-5층,0.0,0.0
-10층,0.4,0.0
-15층,0.8,0.0
-20층,1.1,1.2
-25층,3.2,8.9
-30층,4.1,12.2
-35층,4.1,12.2
